Food_code	DR2IGRMS
92101000	255
91200040	2
12210400	1.96
94000100	240
58100010	222
11111000	488
63107010	202
94100100	480
54102010	22.11
24127500	175
72122213	76.5
71501018	187.5
92308000	372
92410520	480
54328200	42
21500310	113.33
51154100	52
75113000	8
74101000	30
83107000	14
75506010	5
75503010	20
94100100	480
53247000	48
94000100	240
92101000	450
91101010	6.25
93102000	3240
26107140	226
26107140	680
51107010	64
75216171	100
81101000	14.19
74101000	123
75111000	100.5
75117020	27.5
93401010	420
94100100	480
92510610	124
92101000	510
12210400	3.92
27510233	225
11542100	526
21102130	113.4
75204012	90
83106000	14.7
75113000	31.59
74101000	23.99
75111000	30.81
94000100	480
54328100	28
63149010	50.66
94000100	240
22600200	24
56205008	158
91101010	12.5
81101000	28.38
95320200	372
24168001	105
92410310	248
61119010	96
32130830	77
92306700	240
75649110	468
75651070	120.5
94000100	480
57135000	56
11350020	244
61125010	76
11112110	244
53520110	54
51301010	56
25230210	28
75121000	14.06
14410110	21
94000100	240
27510251	450
61125010	88
94100100	180
25221405	20
32130020	61
55200060	40
81101000	14.19
91301060	19.69
11112210	106.75
94000100	600
52306010	86.67
11112210	106.75
64104010	108.5
24123120	33.75
24143220	45
63123000	132.13
53712100	21.5
51113010	28
81101000	14.19
11830400	12
11112110	183
63107010	12
94000100	45
11830400	10
11112110	152.5
71401030	10
74401010	10
94000100	45
56205002	25.47
58146222	39.06
94000100	45
11830400	10
11112110	152.5
11830400	10
11112110	152.5
92101000	240
12210200	30
91101010	50
53520000	46
72125200	195
58145112	115
94100100	507
94100100	507
58146322	375
92550400	315
53511000	56.5
53510100	56.5
54304020	12.5
63311140	60.5
27540300	6.1
78101100	553.5
94100100	390
92410310	149.5
58146452	187.5
58146372	187.5
51121015	79
94100100	240
25221405	35
31102000	50
94100100	507
56205008	6.58
55502000	15
94000100	120
24167200	66
94100100	507
31105030	80
51101000	112
83100200	57.2
63101000	182
92410340	744
58106702	432
53209015	44
11111000	198.25
92103000	510
24127202	370
92410310	372
14104250	9.56
94100100	507
92410310	372
24127202	165
57125000	40
11112110	488
11432000	170
63101110	510
11112110	488
51101000	56
25230780	14
14410110	21
92530610	496
14410110	21
75211020	75
27214110	100.13
71501010	125
11112110	488
57335550	60
11112110	244
92410310	372
24198735	96
75506100	45
94100100	480
25221830	40
56201052	120
61210220	201.5
31105030	92
94000100	150
51119010	62
25230210	84
75506010	5.21
