Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
SEQN	83732	86189	88833	88755.4396768929	91284.5	93702	2891.39597149605
Food_code	11100000	43108010	63420110	63135117.6103009	92101000	95323000	27664707.2765165
WTDRD1	3173.136	15528.43	26381.13	48777.4649074207	61067.88	454277.7	55627.7160423939
WTDR2D	2553.902	14641.89	31314.42	56623.0801854982	68194.03	579149	69805.02688203
LINE	1	4	8	9.28909663881347	13	48	6.26507700471253
DRSTZ	1	1	1	1	1	1	0
EXMER	14	43	53	56.8191622981521	75	91	22.0956439541451
DRABF	2	2	2	2	2	2	0
DRDINT	2	2	2	2	2	2	0
DBIH	-32	6	14	16.2779806477458	23	141	14.5258829668478
DAY	1	2	4	3.89110176821426	6	7	2.00667567441981
LANG	1	1	1	1.17570830105521	1	6	0.543460835183235
CCMNM	0	0	0	1.05305394896171	2	14	1.5415292733254
CCMTX	0	0	0	4.92851179686971	3	90	16.5434634490349
X_020	0	36000	50400	50637.9526019299	66600	86340	17481.9444593697
X_030Z	1	2	3	4.40261283553577	6	19	3.67192869035079
FS	1	1	1	3.8231410842428	2	99	7.65396400262652
X_040Z	1	1	1	1.28629878383562	2	9	0.452963241664888
FoodCode	11100000	43108010	63420110	63135117.6103009	92101000	95323000	27664707.2765165
FoodAmt	0.01	32	106	209.519960739777	248	17400	371.607872773103
KCAL	0	7	73	131.623575688746	176	4100	189.247818717657
PROT	0	0.04	1.01	5.19403823735136	5.37	232.72	10.6000392858436
CARB	0	0.29	5.33	15.7316531411939	24.21	876.96	24.0538779012924
SUGR	0	0	1.13	6.63970111086876	6.9	690.16	14.2338669896835
FIBE	0	0	0.1	1.11693228739687	1.3	60.6	2.29353449361307
TFAT	0	0.02	0.88	5.14867380169827	6.05	208.23	9.92166971141696
SFAT	0	0.001	0.155	1.66620913965959	1.715	99.78	3.65209827717183
MFAT	0	0	0.168	1.81411026707481	1.942	102.974	3.79594384307052
PFAT	0	0.001	0.114	1.19512216547958	1.133	106.991	2.72695461074789
CHOL	0	0	0	19.6775246504562	8	1636	62.4730419182755
ATOC	0	0	0.11	0.554483938657782	0.51	88.86	1.44713176769941
ATOA	0	0	0	0.0500190284222956	0	87.8	0.80850680501047
RET	0	0	0	26.0449386653028	6	19052	138.953164547775
VARA	0	0	1	39.5197466888289	22	19094	164.988228670112
ACAR	0	0	0	25.4832091095751	0	28416	262.384024334674
BCAR	0	0	0	146.422558833926	20	61121	983.632639145825
CRYP	0	0	0	6.24208214562384	0	7293	65.2024222328043
LYCO	0	0	0	313.740754668732	0	104091	2198.26881135408
LZ	0	0	0	111.08724494017	30	77972	961.274839706793
VB1	0	0	0.026	0.101193977090682	0.108	5.859	0.209283131963795
VB2	0	0.002	0.042	0.130281395016509	0.151	10.099	0.258977662664027
NIAC	0	0.002	0.254	1.61775402191653	1.57	100.787	3.61152488910106
VB6	0	0	0.03	0.131340202618852	0.129	16.122	0.349850561244955
FOLA	0	0	5	25.1222030851616	25	3149	59.4156248617888
FA	0	0	0	11.0007671537842	0	3075	46.5991298472807
FF	0	0	4	14.1072210230221	15	1503	31.4890245733378
FDFE	0	0	5	32.8041275882039	28	5302	88.8132755015505
CHL	0	0.5	4.9	21.4975721839063	19.6	1098.5	47.4385287864204
VB12	0	0	0	0.307538263675268	0.13	204.67	1.57335053450561
B12A	0	0	0	0.06102821170436	0	46.31	0.628798716385664
VC	0	0	0	5.264668055566	1.4	753.4	19.2629262849583
VD	0	0	0	0.30366654382178	0	96.6	1.42423169333629
VK	0	0	0.4	7.8154182868403	4	3491.3	45.9039382635275
CALC	0	5	15	58.8582119299935	52	3661	122.759999416445
PHOS	0	2	27	86.2517392579667	110	3447	146.74817856224
MAGN	0	3	10	19.0471122676915	24	761	28.774896727784
IRON	0	0.02	0.19	0.902163373671583	0.91	84	2.09267607651131
ZINC	0	0.03	0.17	0.698156499371987	0.69	187.81	1.70399072234316
COPP	0	0.012	0.035	0.0784811182394573	0.089	36.017	0.247788208440245
SODI	0	8	52	222.168239833332	266	8688	411.776693658393
POTA	0	11	76	165.477726216352	218	6072	245.487281847791
SELE	0	0	0.5	7.41908708699674	7.5	507.2	16.5112292729585
CAFF	0	0	0	8.61321911265879	0	2160	44.52998280449
THEO	0	0	0	1.90666295624967	0	1148	16.8881491771525
