Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
SEQN	83733	86238.25	88726	88744.7899774775	91294.5	93697	2897.86057914237
GRMS	661.505	2238.46375	2922.5075	3133.30148085586	3804.64375	11088.225	1238.81395792257
KCAL	604	1494.375	1904	1994.14611486486	2412.125	5136	706.506043486883
PROT	16.705	56.98375	74.455	78.7529222972973	95.13	210.98	30.7263342719791
CARB	54.135	168.92125	227.2025	237.741807432432	289.6375	822.645	92.1651133452491
SUGR	4.855	60.57625	90.6725	99.4846396396396	124.9875	372.13	53.5453191335107
FIBE	1.15	10.7875	15.275	16.9221002252252	21.2	64.4	8.60564898212043
TFAT	15.435	54.13	73.74	78.8120861486486	97.29125	222.17	33.9380705838648
SFAT	4.465	16.25575	23.4895	25.4408384009009	32.123	85.2545	12.2416244326679
MFAT	5.028	18.50175	25.88225	27.7929552364865	34.203	90.354	12.7848100183011
PFAT	2.298	11.870125	16.62	18.3717286036036	22.832625	67.851	9.24020052747735
CHOL	0	168.875	259.25	294.837556306306	379	1260.5	174.180965284966
ATOC	1.16	5.25375	7.3625	8.45507882882883	10.455	77.88	5.19027115028693
ATOA	0	0	0	0.687170608108108	0	58.81	3.02719091720135
RET	0.5	193.375	313.75	397.137668918919	492.625	9914	508.25774657361
VARA	22.5	313.375	490.75	605.708614864865	734.75	10021.5	585.550954450709
ACAR	0	25	89.75	399.532094594595	445.625	9921.5	765.671705352762
BCAR	21.5	466.875	1154.5	2264.02646396396	2744.5	32144.5	3080.93271685348
CRYP	0	16.5	44.5	96.2958896396396	102.5	3956	201.809051793799
LYCO	0	821.875	2511	4761.25140765766	6362.875	47630	6115.53875788168
LZ	14	470.5	836.75	1660.63541666667	1562.25	51701.5	2855.63969012567
VB1	0.2815	1.0495	1.43225	1.52136317567568	1.885125	4.976	0.646080951083581
VB2	0.258	1.317625	1.8085	1.95614893018018	2.366875	8.166	0.92691135858859
NIAC	4.387	16.667	22.68925	24.3708158783784	30.22075	115.901	11.0210369196546
VB6	0.326	1.279625	1.73675	1.95153941441441	2.348	20.5435	1.14665081825681
FOLA	57.5	244.5	341	378.376970720721	463.5	1898.5	194.90220858576
FA	0	75.875	129.75	164.915540540541	210.125	1429	139.797120265089
FF	21.5	136	191.5	213.24268018018	263.625	884	111.391417235414
FDFE	68.5	306.5	434.75	493.510698198198	612	2899	281.307056731917
CHL	55.85	221.85	297.275	324.04535472973	397.3625	1233.15	148.671589780922
VB12	0.025	2.37	3.6775	4.72690315315315	5.6175	105.505	5.71004446924507
B12A	0	0	0	0.838823198198198	0.95625	18.565	1.89587851582101
VC	5	30.55	60.375	76.9678490990991	107.5125	392.8	61.0840175688939
VD	0	1.7	3.3	4.46368243243243	5.7	49.8	4.59734139441922
VK	5.6	47.5875	77.225	118.216638513514	132.55	2354.15	140.571194774992
CALC	94	580.625	811.5	887.405405405405	1108.125	3372	435.6782923524
PHOS	343	948.875	1238.5	1305.40878378378	1587.625	3803	501.563999102847
MAGN	50	204.5	265.5	287.36402027027	350.625	1019	118.984052454657
IRON	2.53	9.2325	12.465	13.6096846846847	16.65125	71.325	6.49060284634416
ZINC	1.78	7.1975	9.68	10.5647043918919	12.94625	45.985	4.86995336876803
COPP	0.255	0.808	1.072	1.20556615990991	1.41225	18.9055	0.969505132507522
SODI	587	2407.375	3179.25	3381.66469594595	4069	8951.5	1343.64404220602
POTA	483	1839.25	2408.75	2510.81165540541	3052.5	7730	937.679098910975
SELE	19.1	78.2375	105.25	112.871002252252	136.9625	355	48.4685453197995
CAFF	0	24.375	89.25	133.829673423423	184.875	1255	155.688492209013
