FoodCode	DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
11100000	MILK, NFS	Milk_NFS	Milk, NFS	0	11100000.0
11111000	MILK, WHOLE	Milk_whole	Milk, whole	0	11111000.0
11112110	MILK, REDUCED FAT (2%)	Milk_reduced_fat_2_	Milk, reduced fat (2%)	0	11112110.0
11112210	MILK, LOW FAT (1%)	Milk_low_fat_1_	Milk, low fat (1%)	0	11112210.0
11113000	MILK, FAT FREE (SKIM)	Milk_fat_free_skim_	Milk, fat free (skim)	0	11113000.0
11114300	MILK, LACTOSE FREE, LOW FAT (1%)	Milk_lactose_free_low_fat_1_	Milk, lactose free, low fat (1%)	0	11114300.0
11114320	MILK, LACTOSE FREE, FAT FREE (SKIM)	Milk_lactose_free_fat_free_skim_	Milk, lactose free, fat free (skim)	0	11114320.0
11114330	MILK, LACTOSE FREE, REDUCED FAT (2%)	Milk_lactose_free_reduced_fat_2_	Milk, lactose free, reduced fat (2%)	0	11114330.0
11114350	MILK, LACTOSE FREE, WHOLE	Milk_lactose_free_whole	Milk, lactose free, whole	0	11114350.0
11115000	BUTTERMILK, FAT FREE (SKIM)	Buttermilk_fat_free_skim_	Buttermilk, fat free (skim)	0	11115000.0
11115100	BUTTERMILK, LOW FAT (1%)	Buttermilk_low_fat_1_	Buttermilk, low fat (1%)	0	11115100.0
11115200	BUTTERMILK, REDUCED FAT (2%)	Buttermilk_reduced_fat_2_	Buttermilk, reduced fat (2%)	0	11115200.0
11115300	BUTTERMILK, WHOLE	Buttermilk_whole	Buttermilk, whole	0	11115300.0
11116000	GOAT'S MILK, WHOLE	Goat_s_milk_whole	Goat's milk, whole	0	11116000.0
11120000	MILK, DRY, RECONSTITUTED, NS AS TO FAT CONTENT	Milk_dry_reconstituted_NS_as_to_fat_content	Milk, dry, reconstituted, NS as to fat content	0	11120000.0
11121100	MILK, DRY, RECONSTITUTED, WHOLE	Milk_dry_reconstituted_whole	Milk, dry, reconstituted, whole	0	11121100.0
11121300	MILK, DRY, RECONSTITUTED, FAT FREE (SKIM)	Milk_dry_reconstituted_fat_free_skim_	Milk, dry, reconstituted, fat free (skim)	0	11121300.0
11210050	MILK, EVAPORATED, NS AS TO FAT CONTENT	Milk_evaporated_NS_as_to_fat_content	Milk, evaporated, NS as to fat content	0	11210050.0
11211050	MILK, EVAPORATED, WHOLE	Milk_evaporated_whole	Milk, evaporated, whole	0	11211050.0
11211400	MILK, EVAPORATED, REDUCED FAT (2%)	Milk_evaporated_reduced_fat_2_	Milk, evaporated, reduced fat (2%)	0	11211400.0
11220000	MILK, CONDENSED, SWEETENED	Milk_condensed_sweetened	Milk, condensed, sweetened	0	11220000.0
11320000	SOY MILK	Soy_milk	Soy milk	0	11320000.0
11320100	SOY MILK, LIGHT	Soy_milk_light	Soy milk, light	0	11320100.0
11320200	SOY MILK, NONFAT	Soy_milk_nonfat	Soy milk, nonfat	0	11320200.0
11321000	SOY MILK, CHOCOLATE	Soy_milk_chocolate	Soy milk, chocolate	0	11321000.0
11321100	SOY MILK, LIGHT, CHOCOLATE	Soy_milk_light_chocolate	Soy milk, light, chocolate	0	11321100.0
11321200	SOY MILK, NONFAT, CHOCOLATE	Soy_milk_nonfat_chocolate	Soy milk, nonfat, chocolate	0	11321200.0
11350000	ALMOND MILK, SWEETENED	Almond_milk_sweetened	Almond milk, sweetened	0	11350000.0
11350010	ALMOND MILK, SWEETENED, CHOCOLATE	Almond_milk_sweetened_chocolate	Almond milk, sweetened, chocolate	0	11350010.0
11350020	ALMOND MILK, UNSWEETENED	Almond_milk_unsweetened	Almond milk, unsweetened	0	11350020.0
