FoodCode	DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
11100000	MILK, NFS	Milk_NFS	Milk, NFS	0	11100000.0
11111000	MILK, WHOLE	Milk_whole	Milk, whole	0	11111000.0
11112110	MILK, REDUCED FAT (2%)	Milk_reduced_fat_2_	Milk, reduced fat (2%)	0	11112110.0
11112210	MILK, LOW FAT (1%)	Milk_low_fat_1_	Milk, low fat (1%)	0	11112210.0
11113000	MILK, FAT FREE (SKIM)	Milk_fat_free_skim_	Milk, fat free (skim)	0	11113000.0
11114330	MILK, LACTOSE FREE, REDUCED FAT (2%)	Milk_lactose_free_reduced_fat_2_	Milk, lactose free, reduced fat (2%)	0	11114330.0
11116000	GOAT'S MILK, WHOLE	Goat_s_milk_whole	Goat's milk, whole	0	11116000.0
11220000	MILK, CONDENSED, SWEETENED	Milk_condensed_sweetened	Milk, condensed, sweetened	0	11220000.0
11350010	ALMOND MILK, SWEETENED, CHOCOLATE	Almond_milk_sweetened_chocolate	Almond milk, sweetened, chocolate	0	11350010.0
11350020	ALMOND MILK, UNSWEETENED	Almond_milk_unsweetened	Almond milk, unsweetened	0	11350020.0
11411200	YOGURT, LOW FAT MILK, PLAIN	Yogurt_low_fat_milk_plain	Yogurt, low fat milk, plain	0	11411200.0
11411300	YOGURT, NONFAT MILK, PLAIN	Yogurt_nonfat_milk_plain	Yogurt, nonfat milk, plain	0	11411300.0
11411410	YOGURT, GREEK, LOW FAT MILK, PLAIN	Yogurt_Greek_low_fat_milk_plain	Yogurt, Greek, low fat milk, plain	0	11411410.0
11430000	YOGURT, NS AS TO TYPE OF MILK, FRUIT	Yogurt_NS_as_to_type_of_milk_fruit	Yogurt, NS as to type of milk, fruit	0	11430000.0
11431000	YOGURT, WHOLE MILK, FRUIT	Yogurt_whole_milk_fruit	Yogurt, whole milk, fruit	0	11431000.0
11432000	YOGURT, LOW FAT MILK, FRUIT	Yogurt_low_fat_milk_fruit	Yogurt, low fat milk, fruit	0	11432000.0
11433000	YOGURT, NONFAT MILK, FRUIT	Yogurt_nonfat_milk_fruit	Yogurt, nonfat milk, fruit	0	11433000.0
11434000	YOGURT, GREEK, WHOLE MILK, FRUIT	Yogurt_Greek_whole_milk_fruit	Yogurt, Greek, whole milk, fruit	0	11434000.0
11434020	YOGURT, GREEK, NONFAT MILK, FRUIT	Yogurt_Greek_nonfat_milk_fruit	Yogurt, Greek, nonfat milk, fruit	0	11434020.0
11434090	YOGURT, NS AS TO TYPE OF MILK, FLAVORS OTHER THAN FRUIT	Yogurt_NS_as_to_type_of_milk_flavors_other_than_fruit	Yogurt, NS as to type of milk, flavors other than fruit	0	11434090.0
11460000	YOGURT, FROZEN, FLAVORS OTHER THAN CHOCOLATE, NS AS TO TYPE	Yogurt_frozen_flavors_other_than_chocolate_NS_as_to_type_of_milk	Yogurt, frozen, flavors other than chocolate, NS as to type of milk	0	11460000.0
11511100	CHOCOLATE MILK, READY TO DRINK, WHOLE	Chocolate_milk_ready_to_drink_whole	Chocolate milk, ready to drink, whole	0	11511100.0
11511200	CHOCOLATE MILK, READY TO DRINK, REDUCED FAT	Chocolate_milk_ready_to_drink_reduced_fat	Chocolate milk, ready to drink, reduced fat	0	11511200.0
11511400	CHOCOLATE MILK, READY TO DRINK, LOW FAT	Chocolate_milk_ready_to_drink_low_fat	Chocolate milk, ready to drink, low fat	0	11511400.0
11511550	CHOCOLATE MILK, READY TO DRINK, REDUCED SUGAR, NS AS TO MILK	Chocolate_milk_ready_to_drink_reduced_sugar_NS_as_to_milk	Chocolate milk, ready to drink, reduced sugar, NS as to milk	0	11511550.0
