Food	Axis	correlation	pval	qval	Significance
Water bottled unsweetened	Axis.3	0.702480198483036	1.43782957606681e-36	2.4126780286401e-32	*
Tomatoes raw	Axis.4	0.677762219663849	3.15713346199654e-33	2.6488349746151e-29	*
Ice cream regular flavors other than chocolate	Axis.9	-0.571655487545303	5.79166726868859e-22	3.23947255895315e-18	*
Lettuce raw	Axis.4	0.563167754074972	3.11945420073078e-21	1.30861103720656e-17	*
Sugar white granulated or lump	Axis.2	-0.538691202988314	3.08715163816633e-19	1.03604808976862e-15	*
Milk reduced fat 2 	Axis.1	-0.536547389708878	4.53619302380779e-19	1.26862198232491e-15	*
Cheese American	Axis.2	-0.53487671864997	6.11105973219873e-19	1.46490831866135e-15	*
Milk whole	Axis.1	-0.530132906097628	1.41166792097631e-18	2.96097346424782e-15	*
Coffee brewed	Axis.3	-0.525405160096346	3.20985465135707e-18	5.98459567219685e-15	*
Ham prepackaged or deli luncheon meat	Axis.10	0.51379506287889	2.28740873959608e-17	3.83827186504222e-14	*
Pork sausage	Axis.6	0.501858366724507	1.59566907184606e-16	2.43412063868881e-13	*
Water tap	Axis.3	-0.485142106227796	2.13953587925758e-15	2.99178433782852e-12	*
Ham prepackaged or deli luncheon meat	Axis.4	0.440735453708979	1.10445818787177e-12	1.42560064557602e-09	*
Soft drink cola	Axis.7	-0.43235769102343	3.25310035652386e-12	3.89907314160503e-09	*
Bread white	Axis.2	-0.414805144480157	2.84675435012372e-11	3.18456919967174e-08	*
Sugar white granulated or lump	Axis.6	-0.412147268845726	3.91116103265235e-11	4.10183013299416e-08	*
Ham prepackaged or deli luncheon meat	Axis.2	-0.393537089033192	3.34888291063995e-10	3.30554442591402e-07	*
Coffee creamer liquid	Axis.7	0.381119746206814	1.30513090995227e-09	1.21667203716662e-06	*
Sugar white granulated or lump	Axis.8	-0.380594365221344	1.38072845869393e-09	1.21940123878338e-06	*
Coffee creamer powder	Axis.5	-0.375816447945804	2.2935855851849e-09	1.92431830597013e-06	*
Banana raw	Axis.6	-0.372633026899551	3.20181487745892e-09	2.5584025544648e-06	*
Carrots raw	Axis.4	0.368214913910968	5.05690911157468e-09	3.85704249510105e-06	*
Coffee creamer powder	Axis.7	-0.357947543543113	1.42470436621359e-08	1.03941475065495e-05	*
Lettuce raw	Axis.8	-0.354602057638331	1.98105203410498e-08	1.3850855471784e-05	*
Coffee creamer liquid flavored	Axis.7	0.349250086907018	3.33049987106359e-08	2.23543151345788e-05	*
Banana raw	Axis.5	0.342641805031585	6.242178207348e-08	4.02860578151151e-05	*
Beer	Axis.7	-0.340871008977749	7.36846714685947e-08	4.57936587867785e-05	*
Lettuce raw	Axis.5	-0.330778709523585	1.85981299466793e-07	0.000111455935894742	*
Cheese American	Axis.10	-0.329248346819947	2.13399048600859e-07	0.000123477104673187	*
Water tap	Axis.2	0.327132816251524	2.57760430126209e-07	0.000144174000583926	*
Coffee creamer powder	Axis.8	0.323169571663107	3.65776207326003e-07	0.000197991121255817	*
