Food	Axis	correlation	pval	qval	Significance
Water tap	Axis.1	-0.848133119282054	8.90914233911832e-67	1.49495408450405e-62	*
Water bottled unsweetened	Axis.1	0.810277616370743	1.86357961288295e-56	1.56354329520879e-52	*
Coffee brewed	Axis.3	-0.707738784873651	2.52288557131205e-37	1.41113399622054e-33	*
Soft drink cola	Axis.5	-0.552576224246109	2.38608827930899e-20	1.00096403317012e-16	*
Coffee brewed	Axis.2	0.530500751793994	1.3235511014555e-18	4.44183749648466e-15	*
Beer light	Axis.5	0.50892222079857	5.1016640970818e-17	1.42676539248388e-13	*
Milk whole	Axis.2	0.48235068273284	3.25580825461362e-15	7.80463750177379e-12	*
Milk reduced fat 2 	Axis.2	0.46122455525037	6.92074758932782e-14	1.32783302846066e-10	*
Soft drink cola	Axis.6	0.461019522408575	7.12186964013467e-14	1.32783302846066e-10	*
Coffee brewed	Axis.4	0.44079393069511	1.09604698677707e-12	1.83916684381192e-09	*
Beer light	Axis.6	0.433365579221961	2.8611175428399e-12	4.36450476080486e-09	*
Soft drink cola	Axis.4	-0.374043962303411	2.76297068646527e-09	3.86355400990727e-06	*
Water bottled unsweetened	Axis.4	0.36376298712306	7.95947486236056e-09	1.02738452454162e-05	*
Ice cream regular flavors other than chocolate	Axis.10	0.357332958929835	1.51408555278456e-08	1.81473968398035e-05	*
Beer	Axis.7	-0.349894346441439	3.13020156894514e-08	3.50165215512663e-05	*
Milk reduced fat 2 	Axis.9	-0.342853851884619	6.118985189116e-08	6.4172857170854e-05	*
Milk whole	Axis.10	0.331748860589764	1.70388190651936e-07	0.000168183167008205	*
Milk fat free skim 	Axis.8	0.329442876684076	2.09709901512326e-07	0.000195496230409824	*
Tea iced brewed black pre sweetened with sugar	Axis.6	-0.327772976433244	2.43478886860652e-07	0.000215030301132723	*
Banana raw	Axis.7	0.315633465341636	7.01962772826171e-07	0.000588946766401157	*
Beer	Axis.9	-0.299236582217157	2.72875768991599e-06	0.00218040733508525	*
Soft drink cola	Axis.8	-0.290202968972939	5.56899958415047e-06	0.00424762786463841	*
Orange juice 100 canned bottled or in a carton	Axis.10	0.282127727145087	1.03247376417009e-05	0.00721871240115586	*
Beer light	Axis.4	-0.282558566457255	9.99501357912505e-06	0.00721871240115586	*
Water tap	Axis.3	0.277507922392638	1.45733549171304e-05	0.00978163582037796	*
Milk fat free skim 	Axis.5	-0.272792989233302	2.05862863291485e-05	0.0132860724847351	*
Milk reduced fat 2 	Axis.3	0.271226449728827	2.30575189425841e-05	0.0143298210317245	*
Milk fat free skim 	Axis.7	0.270020892230852	2.51475687718756e-05	0.0150705787140026	*
Water tap	Axis.4	0.268940640735575	2.71713282790017e-05	0.0157218927076431	*
Coffee instant reconstituted	Axis.5	0.268141798001892	2.87658293915927e-05	0.0160896872396975	*
Soft drink cola diet	Axis.9	-0.261327591404674	4.64482886261828e-05	0.0251420091337854	*
Beer	Axis.5	-0.260829038539038	4.80809863800539e-05	0.0252124672330407	*
Milk low fat 1 	Axis.9	0.257755069660189	5.94046891357019e-05	0.0302063843544569	*
Tea iced brewed black unsweetened	Axis.9	0.252813344365664	8.30042293294888e-05	0.0409650284749654	*
Coffee instant reconstituted	Axis.7	0.251703355432574	8.93988365853592e-05	0.0428603565114951	*
Milk low fat 1 	Axis.8	0.250650067939435	9.58918746287809e-05	0.0446865488454786	*
Soft drink cola diet	Axis.10	-0.250240503601543	9.85341065126763e-05	0.0446865488454786	*
Soft drink cola diet	Axis.7	0.238339040503073	0.000212818656970263	0.0939762385252898	
Milk fat free skim 	Axis.2	-0.232298784985479	0.000310055617848169	0.133403417115187	
Potato baked peel not eaten	Axis.5	0.221585104031995	0.000590291393394661	0.241587550760059	
Tea iced bottled black	Axis.2	0.221665027619344	0.00058752791038524	0.241587550760059	
Apple raw	Axis.3	0.220059472182841	0.000645402438210005	0.257853640789616	
Milk fat free skim 	Axis.9	0.219419573248432	0.000669902883982918	0.261417916121706	
Coffee brewed	Axis.1	-0.21858395774913	0.000703190861859972	0.268171424136599	
Water bottled unsweetened	Axis.3	0.217118970076842	0.000765260674583896	0.285357202655951	
Tea iced brewed black unsweetened	Axis.6	-0.216226463047106	0.000805513218761657	0.293837213278709	
Cheese American	Axis.7	-0.214387915218462	0.000894654435755693	0.319410668765543	
