	BMXBMI	F_CITMLB	F_OTHER	F_JUICE	F_TOTAL	V_DRKGR	V_REDOR_TOMATO	V_REDOR_OTHER	V_REDOR_TOTAL	V_STARCHY_POTATO	V_STARCHY_OTHER	V_STARCHY_TOTAL	V_OTHER	V_TOTAL	V_LEGUMES	G_WHOLE	G_REFINED	G_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_ORGAN	PF_POULT	PF_SEAFD_HI	PF_SEAFD_LOW	PF_MPS_TOTAL	PF_EGGS	PF_SOY	PF_NUTSDS	PF_LEGUMES	PF_TOTAL	D_MILK	D_YOGURT	D_CHEESE	D_TOTAL	OILS	SOLID_FATS	ADD_SUGARS	A_DRINKS
BMXBMI	1	-0.0512160596917818	-0.0340952730827291	-0.0471039226387111	-0.0647772446684824	-0.0756883500473793	-0.0538570810442145	0.0315391614768328	-0.0323828965618245	0.0091965486506105	-0.0519640886365001	-0.0144695627434475	-0.0127051961853969	-0.0500198072699609	0.0154251169630765	0.00313329444263091	0.130142652237767	0.129767111260498	0.1643204551104	0.100217451963799	0.0410841504462482	0.0546547310726604	-0.148289813166075	0.016930144735878	0.144997900705479	0.0298145529793163	-0.0826264722502149	0.0423562921829104	0.0152989890754092	0.14309167076164	0.0156180025373779	0.0075802294921983	0.0322476483875544	0.0343824216735286	0.0644056082869983	0.118994077583856	0.101586039723484	-0.197862772709786
F_CITMLB	-0.0512160596917818	1	0.332288770124408	-0.0556883234809436	0.624236970139737	0.0440189630839129	-0.0264880760525805	0.107850852411827	0.0267995638977002	-0.014913263687076	0.0311490972574874	0.000436647635875361	0.256142702694441	0.149191510538319	-0.0136835445125209	0.0902432924966633	0.12214457163114	0.156837762822375	0.0127868864524692	-0.105129859287377	0.0104481455181319	0.0263641230505434	0.219644546963557	0.0618868039998667	0.0707710980536845	-0.0187354724568956	-0.00172053037043048	0.100102330268331	-0.0141145155458461	0.0976177096214626	0.0798370879458422	0.0944626562682346	0.0276351397847613	0.102117499442203	0.130319859128291	-0.0432237085906955	0.0274533209456502	-0.116745019710886
F_OTHER	-0.0340952730827291	0.332288770124408	1	0.0291843829531309	0.825102105563776	0.224277972115123	-0.0149750329317962	0.0991851560639217	0.0328320188110326	-0.148806837466383	0.0104831999064449	-0.125842508305866	0.117955349478909	0.0692975999385584	0.0169463670975588	0.310419932659432	-0.127959869172517	-0.00174275605891078	-0.135219175982682	-0.0403889915537906	-0.0568498976262225	0.112990097357539	0.247138337343728	0.110152700881106	0.100210121273309	0.000987060163463979	0.00834121554719654	0.214012712473678	0.0166359941965027	0.17414063900011	0.145867435951926	0.149407691109845	-0.00979763059449169	0.145314184003783	0.0908154276378264	-0.0450278638918201	-0.0106364361607898	-0.116843123439741
F_JUICE	-0.0471039226387111	-0.0556883234809436	0.0291843829531309	1	0.42311334987625	0.0329360545974114	0.00076073841422392	0.117184881577293	0.0548860405820841	0.018676008981081	0.0159743841057186	0.0232895503993893	-0.135465481553833	-0.022369580191816	0.0642958420712576	0.113277299073634	-0.0969319994198309	-0.0502427933992345	-0.0817896378523333	0.05208432444102	-0.0571353129197794	-0.051854695302729	-0.00135031556906686	0.0314596502527258	-0.0434364128912623	-0.0312553655672053	-0.00291887083748429	0.0871681988259159	0.0632495970252846	-0.00717694125337221	0.0424139309052618	-0.0134692428072355	-0.0575024278448941	0.0146222580391351	-0.0162502329211548	-0.0384971421305595	-0.0251580821504674	0.0564237608819168
F_TOTAL	-0.0647772446684824	0.624236970139737	0.825102105563776	0.42311334987625	1	0.183363356944433	-0.0209850281776242	0.162483369689402	0.0568785033426035	-0.0982738538830144	0.0270984650679998	-0.0743614606383357	0.130170375014648	0.100366906094303	0.0330300917763618	0.295164147817058	-0.0754240946323569	0.0440095863619443	-0.12029732794809	-0.0495405370416048	-0.0581388877664417	0.0649173737571356	0.258691913071617	0.113696536937477	0.0788015978198624	-0.0206498974138703	0.00362268360713976	0.223468329323048	0.0321916337650942	0.155338416163674	0.149983653509662	0.134703121242339	-0.0193998990437624	0.147207366696372	0.109410101882343	-0.0650451307242227	-0.00622350015627565	-0.103956687549881
V_DRKGR	-0.0756883500473793	0.0440189630839129	0.224277972115123	0.0329360545974114	0.183363356944433	1	0.0945690677862139	0.238176315503213	0.192693321848265	-0.149583309000293	0.0269242558163669	-0.119395250154523	0.23504040237731	0.431677248661518	0.0449442376773015	0.202095597442032	-0.106109001063116	-0.0236505227361286	-0.0482627818618731	-0.0967220846323831	0.027271044141275	-0.0199207729071832	0.0673853861959586	0.121727515046245	-0.00158358647430969	-0.0361214995452913	0.0450248539349581	0.0525559553305816	0.0443953189565884	0.0150038974348923	-0.0397802637522807	0.189988574446442	-0.0404173494033479	-0.0167035473458188	0.0367025229990971	-0.0486833070449632	-0.0766764596190557	-0.0121059127734346
V_REDOR_TOMATO	-0.0538570810442145	-0.0264880760525805	-0.0149750329317962	0.00076073841422392	-0.0209850281776242	0.0945690677862139	1	0.0310910658431372	0.88662698004251	0.101862603553204	-0.0943056347950389	0.0483699873772134	0.128113903834469	0.450843824934648	0.14179910393645	0.010578612389157	0.190793961956604	0.192645949085689	0.143271134401224	0.0251473235494532	-0.0507352330799944	-0.100902914046189	0.034948535530324	-0.0651751489162428	0.00331444328551528	0.0939670880018844	-0.069664244590526	-0.0317188579211089	0.141003957097478	0.0057299779617634	0.137262388999702	-0.012678193756748	0.193293370094495	0.214203033159805	0.145702557976706	0.222412896821284	0.0487398828588654	0.014351138027445
V_REDOR_OTHER	0.0315391614768328	0.107850852411827	0.0991851560639217	0.117184881577293	0.162483369689402	0.238176315503213	0.0310910658431372	1	0.48982783320571	-0.0586339198652008	0.090452482943414	-0.0121626766625844	0.317535672580039	0.405838512638148	-0.0269219690585936	0.187729383876792	0.0410406472244483	0.115885336491134	-0.0356944422426071	0.0290378261673029	0.0308024778040192	0.0762525331311782	0.133354326368719	0.0433597255828462	0.103219185949204	-0.0477301243601171	0.0232069559766271	0.0810809279364643	-0.0265919240472518	0.112453992755934	0.0186444286080611	0.0990925498293738	0.0252042305998534	0.0566325587268752	0.192866057862905	0.0873248205078088	0.0218951929018066	-0.0789154102269979
V_REDOR_TOTAL	-0.0323828965618245	0.0267995638977002	0.0328320188110326	0.0548860405820841	0.0568785033426035	0.192693321848265	0.88662698004251	0.48982783320571	1	0.0617182790487065	-0.0404040589230062	0.0365624925700912	0.258672776277461	0.581029512478385	0.111225926383987	0.0960911785754906	0.185408142556212	0.221654835082884	0.108450799992463	0.0353706002994318	-0.0300007613560537	-0.0527289161479362	0.0921877583447308	-0.0367854950900381	0.0506514338932139	0.0598767769441114	-0.050025935480638	0.0098503874464193	0.110685081624571	0.0570313896076888	0.12835280432726	0.0347925707989577	0.180260587855099	0.213041020353983	0.216328566569584	0.234403592796786	0.0526440063487277	-0.0239972093053408
V_STARCHY_POTATO	0.0091965486506105	-0.014913263687076	-0.148806837466383	0.018676008981081	-0.0982738538830144	-0.149583309000293	0.101862603553204	-0.0586339198652008	0.0617182790487065	1	0.0583077389262818	0.901495923597145	0.0462435998107559	0.504347766905313	-0.0448491114840136	-0.115664479043583	-0.0520893667298107	-0.0978665622535513	0.217688675309624	0.174754078232631	0.0920066651930356	-0.0742735445510291	0.0947114563758108	-0.106874733246312	0.13379618340129	0.0840050613971653	-0.0847128615248357	-0.109322975887599	-0.0446352535673459	0.0816360168360594	-0.0216508979182646	-0.115752162045261	-0.0253600970059853	-0.0528051188742296	0.197133657006071	0.180618541568557	0.121018169358441	0.171987061307841
