	BMXBMI	PROT	CARB	SUGR	FIBE	TFAT	SFAT	MFAT	PFAT	CHOL	ATOC	ATOA	RET	VARA	ACAR	BCAR	CRYP	LYCO	LZ	VB1	VB2	NIAC	VB6	FOLA	FA	FF	FDFE	CHL	VB12	B12A	VC	VD	VK	CALC	PHOS	MAGN	IRON	ZINC	COPP	SODI	POTA	SELE	CAFF	THEO	ALCO	S040	S060	S080	S100	S120	S140	S160	S180	M161	M181	M201	M221	P182	P183	P184	P204	P205	P225	P226
BMXBMI	1	0.158955501998591	0.0913530465129122	0.0780651085168049	0.0302359873077807	0.142759878970544	0.127153724045762	0.142521876378173	0.111677867391136	0.0866933815544882	0.10116888510717	-0.0355131457591338	-0.0292545785193272	-0.0497774339269028	0.0332923244554784	-0.0521233547587521	-0.0754534933339459	0.0332480987227194	-0.0974348353831192	0.0788258533573628	0.121307752197322	0.0546694180077435	-0.00604168414686008	-0.0511791650759248	-0.0105643512287309	-0.073621926523009	-0.039265262506456	0.037212206144319	-0.0373073572978485	-0.0610345552550448	-0.155573634664541	-0.0868767694605602	-0.107508403539615	0.0864940782397468	0.130305609260791	0.0229244698733566	0.0124023762337604	0.118862928974367	0.0506984227806537	0.159730702174597	0.070504907187741	0.122477691943301	0.224315500565606	0.0119802972362192	-0.203934887867249	0.0362982666284702	0.00602853628030899	0.00359578813670772	0.0174842068810166	-8.48456770192905e-05	0.0460060927777129	0.134552016946239	0.166058174256955	0.103247743807999	0.142901871982472	0.0213956766985114	-0.0598581478181392	0.121601786331135	0.0452471540674709	-0.0442629869682063	0.0571433034414986	-0.132177030568389	-0.0395008124140613	-0.108025735107722
PROT	0.158955501998591	1	0.554315273134988	0.388313583626234	0.439460946354554	0.731992425154285	0.659254784587153	0.713472367031367	0.600363164661786	0.664814704113058	0.612673117071181	0.180309361188049	0.295335502144664	0.337540242866265	0.173749377325414	0.21063701028209	0.114486721961677	0.222380279723487	0.114545980223199	0.62113132918217	0.689032613547801	0.782529716155615	0.672080772208481	0.39668983759832	0.204409375662967	0.422474279533326	0.346306167237922	0.76651889531063	0.598806341266423	0.130586119150565	0.262139128069683	0.422494576951469	0.192235653771247	0.571142477907545	0.87288120971637	0.648145183257321	0.495297094133476	0.750170579295378	0.588701591821181	0.786496115692007	0.736035757315049	0.880240181623466	0.0796014529830205	0.182204675982386	-0.0944685548425334	0.377026952528197	0.363757407382276	0.209828054080406	0.34614758317587	0.112233686062821	0.432039161265202	0.709290864759249	0.667862991560702	0.661776736407711	0.703541684272144	0.558296360720638	0.117286012305252	0.593785478056886	0.505786713910146	0.207417916147763	0.595015647733106	0.250284451542176	0.290147652699803	0.315080865549474
CARB	0.0913530465129122	0.554315273134988	1	0.823909664823636	0.624360329050554	0.531996618416687	0.513827436187693	0.462855446362062	0.440190291936923	0.273570590444208	0.463870414069247	0.102019396481161	0.355142321509745	0.407212166951867	0.195698168173767	0.256162800651238	0.143725158766433	0.294105204894401	0.0876388759690187	0.701696726454605	0.58789982400803	0.495149488156129	0.493830076338258	0.58721529018149	0.390951026068355	0.516086098779078	0.543816743374871	0.455057637134424	0.343809657330759	0.0891190853250897	0.387837452341084	0.40005919135512	0.145348580719275	0.538368235843472	0.702047860471153	0.636716301500337	0.601134031579248	0.486670132217083	0.58010874513571	0.601896464630242	0.722166416796182	0.524264186720703	0.153863936482924	0.193600212777539	-0.078170919672009	0.387638764466857	0.388409073461404	0.221325305660825	0.331124447335695	0.123394367626026	0.374864117443893	0.550475318718978	0.488810281926746	0.32071634158108	0.465775905346618	0.337194360588264	0.0467253588400544	0.435705631753737	0.398380947864031	0.166143008368089	0.227369513253879	0.163370165966118	0.218865542788073	0.202569321188752
SUGR	0.0780651085168049	0.388313583626234	0.823909664823636	1	0.334635164918623	0.355832991459174	0.395666693154321	0.305030618444321	0.211095848815838	0.194865350324025	0.261322984432167	0.0607121162249531	0.353601149869329	0.362532374633262	0.0948549280020543	0.196572384593599	0.0609848818120834	0.190563815046097	0.0870984752736147	0.421649477554659	0.484920815356896	0.310939752463767	0.360849085801935	0.290897591437215	0.179192330882154	0.274166563363611	0.264297857720765	0.327557615203855	0.317518031273057	0.0765140690792671	0.334447079538617	0.417322757849753	0.0967680592165942	0.418495223586926	0.520268481027974	0.444675781408762	0.324081759112496	0.370793593946093	0.374636112643932	0.312615065610724	0.565938951629779	0.292221798807356	0.18800396755043	0.249911804849508	-0.0972361864711948	0.352913553867397	0.361729688462588	0.241004829006973	0.311192918247867	0.161688252814051	0.329576214315117	0.391695095289299	0.370089099076261	0.267712281123375	0.304933483617031	0.221645432161622	-0.0122721484523003	0.207550580022972	0.178605680281967	0.145292770245664	0.164935888789083	0.117368933919464	0.177852567437155	0.148326925358364
FIBE	0.0302359873077807	0.439460946354554	0.624360329050554	0.334635164918623	1	0.340801986392908	0.262124999962635	0.319409188189101	0.3570001792183	0.079966266304082	0.471817747235891	0.0887105319241616	0.209090802722768	0.433124300510707	0.371761482508777	0.438417554819543	0.29732588841582	0.244452382291421	0.305273021814141	0.548427308926604	0.430542708139908	0.359808621651786	0.500606522392593	0.678446674559851	0.307619252896148	0.775250756488738	0.577709329756877	0.302396042606903	0.27439952403073	0.161387424551461	0.477082535504257	0.274402323990198	0.353377473370053	0.468499040986284	0.588580078195299	0.754559620936935	0.598426070996791	0.491835146549286	0.754651147340914	0.400062265911033	0.696208889577555	0.397700254332768	-0.0686266296803822	0.0928454578956134	-0.199337069323945	0.230584976685712	0.20449374510236	0.0886069822236128	0.168314355387017	0.0224551433739964	0.172495253031596	0.302841498886211	0.217461295559396	0.111604442561633	0.32875232841258	0.245589842920234	0.0398822005547481	0.354220144474611	0.350243308325936	0.14301559238701	0.0533644846274146	0.131870850340262	0.104049162927973	0.156419616937951
TFAT	0.142759878970544	0.731992425154285	0.531996618416687	0.355832991459174	0.340801986392908	1	0.90190615881709	0.964726159662151	0.868502391433588	0.618439569463643	0.726070512702069	0.171094025569279	0.319373527481098	0.324574061705151	0.216507221967899	0.159306545179011	-0.000832332460226501	0.201274546947819	0.0504253378961431	0.541586030248915	0.555129779682944	0.5161503807699	0.412267925245213	0.275022053030961	0.157243522075385	0.274095061208089	0.245449663366236	0.63663755252677	0.365991263942516	-0.0123488669775447	0.114694788379467	0.281038271627292	0.188852328254404	0.475362233132985	0.722064009273867	0.490830833639738	0.413228528444434	0.544192693508563	0.516147921003958	0.785755922055151	0.589413969445885	0.668456433915517	0.091795129315744	0.241064737465018	-0.0865853824408711	0.497296595373141	0.512141378513859	0.383945280511891	0.518778726009388	0.282549245886343	0.608419733811126	0.943388935651796	0.904308877641222	0.751407453939563	0.961425303308261	0.669786801746057	0.131256928491805	0.869767786686135	0.747350260653585	0.175677797557775	0.552501411033094	0.161094815835573	0.249705595205851	0.204615943127996
SFAT	0.127153724045762	0.659254784587153	0.513827436187693	0.395666693154321	0.262124999962635	0.90190615881709	1	0.811956977954598	0.613345502323072	0.566526443158611	0.495331880992901	0.099397799131219	0.382800777048442	0.350799372723079	0.153342834703138	0.140503824071766	-0.0384465487029113	0.230296720049926	0.0600258860076243	0.503473063542646	0.558434662248554	0.422530581205535	0.330397193587073	0.229637652212993	0.180701108653742	0.167847222434081	0.222233493541724	0.552335500631468	0.363200476767421	-0.00462203890459549	0.0604639222451557	0.273654605516645	0.142712499864075	0.543446136707539	0.677845662629286	0.382557972174064	0.394615074697483	0.553280591629324	0.375461043652311	0.714896235847474	0.515928878854006	0.582326834876653	0.121215433725862	0.246948110420569	-0.113426396524139	0.718900534672931	0.739989183424437	0.6361433761683	0.780376085892759	0.494408876708487	0.859740084369433	0.960403692732148	0.953723464879294	0.750413043582461	0.800241483195318	0.489910096776037	0.0789926259322991	0.611927488899218	0.529398651497547	0.177219187795596	0.451570209309395	0.0760312466978095	0.177591092959168	0.109164003768717
MFAT	0.142521876378173	0.713472367031367	0.462855446362062	0.305030618444321	0.319409188189101	0.964726159662151	0.811956977954598	1	0.831966788171053	0.614674978300489	0.777045969556851	0.223193214759995	0.273937778060304	0.257694650743368	0.18127196440779	0.103062869116071	-0.0112618076199173	0.148922291825108	0.0507565339432116	0.486367905802079	0.51240915823666	0.516451160768073	0.414628671370735	0.252154939757299	0.124565627754397	0.275670029041049	0.218289924055254	0.637765899682234	0.352732597602255	0.0037778290676718	0.110864450381857	0.25005500892535	0.176422670186795	0.405738014944875	0.679761792218048	0.495449608279427	0.378506107837045	0.531088468662652	0.524311645443442	0.734499792868875	0.569725750066354	0.6401514352315	0.0893190633394515	0.239649753416599	-0.0645991033070015	0.372713221303591	0.376318438360102	0.254268122130892	0.374670445325997	0.184543357830625	0.470667485291414	0.876806743395239	0.844963416641904	0.757107587497021	0.998797370084462	0.70215809631195	0.106522125152904	0.838089171858512	0.67516271945508	0.159087998225315	0.567011352727802	0.146151586838074	0.243968383612755	0.189440442102614
PFAT	0.111677867391136	0.600363164661786	0.440190291936923	0.211095848815838	0.3570001792183	0.868502391433588	0.613345502323072	0.831966788171053	1	0.489473307073363	0.745527361206757	0.17205944804957	0.19768325867713	0.275926820842588	0.276495140933392	0.205807755822256	0.0394913498550015	0.131667354825257	0.0278503344924642	0.47338177807057	0.412205842544076	0.443588864654598	0.368315896620688	0.271235802352837	0.11454160463418	0.320307406754463	0.227784585193728	0.540635098541929	0.253804951129867	-0.0485403885927291	0.155240537816641	0.228606366573072	0.217490396799823	0.319817738149147	0.589142296794915	0.466710410311762	0.343290700802988	0.368277857786954	0.523277520230912	0.688442805304719	0.510464174544705	0.583787201978918	0.0106205673385402	0.159125244718849	-0.0473070018803562	0.211816568605641	0.220338305073072	0.109991419479665	0.204147542843683	0.0612909981870783	0.268896996582718	0.714528069274075	0.638739289596243	0.50919996245064	0.838369303784139	0.656632610600502	0.197199443120983	0.998121933640829	0.916719767145703	0.155968597711833	0.489888328288252	0.230113721008846	0.255219177389755	0.269416222407528
CHOL	0.0866933815544882	0.664814704113058	0.273570590444208	0.194865350324025	0.079966266304082	0.618439569463643	0.566526443158611	0.614674978300489	0.489473307073363	1	0.399474344624439	0.0691628277149883	0.196405567788085	0.151435884043681	0.045045896386915	0.0283808073587977	-0.00290227262503602	0.0673517636951297	0.0405886599477104	0.329149432327121	0.405179053297511	0.422184911809194	0.374642335724725	0.0650074158074338	-0.0276429356898585	0.144885040219033	0.0352090369996943	0.883053283603341	0.309984206248176	-0.022610605365928	0.094305896362175	0.251242473537544	0.0591313688674671	0.19104212061511	0.529539320481095	0.246716510934217	0.231309143996458	0.41872513278741	0.254508371861587	0.591284234577576	0.373944784189623	0.656894604459785	-0.0106742545319823	0.102965321460963	0.0315734218268572	0.240408258315382	0.25697431771114	0.172281248003821	0.24937135638446	0.105084014026439	0.311117146680227	0.626571624107835	0.61561740308323	0.657378558871658	0.605475991597985	0.414446019090832	0.0670093764446965	0.476667294231864	0.410590136626453	0.00432990820483536	0.871245638192435	0.156963407151979	0.279079069122586	0.283829425023868
