FoodID	taxonomy	Main.food.description
11100000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_NFS	Milk NFS
11111000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_cows_fluid_whole	Milk cows fluid whole
11112110.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_cows_fluid_2_fat	Milk cows fluid 2 fat
11112210.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_cows_fluid_1_fat	Milk cows fluid 1 fat
11113000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat	Milk cows fluid skim or nonfat 0 5 or less butterfat
11114300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_cows_fluid_lactose_reduced_1_fat	Milk cows fluid lactose reduced 1 fat
11114320.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_cows_fluid_lactose_reduced_nonfat	Milk cows fluid lactose reduced nonfat
11114330.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_cows_fluid_lactose_reduced_2_fat	Milk cows fluid lactose reduced 2 fat
11114350.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_cows_fluid_lactose_reduced_whole	Milk cows fluid lactose reduced whole
11115100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Buttermilk_fluid_1_fat	Buttermilk fluid 1 fat
11115200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Buttermilk_fluid_2_fat	Buttermilk fluid 2 fat
11120000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_dry_reconstituted_NFS	Milk dry reconstituted NFS
11121100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_dry_reconstituted_whole	Milk dry reconstituted whole
11210050.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;Milk_evaporated_NS_as_to_fat_content_formerly_NS_as_to_dilution_used_in_coffee_or_tea_assume_undiluted_	Milk evaporated NS as to fat content formerly NS as to dilution used in coffee or tea assume undiluted 
11211050.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;Milk_evaporated_whole_formerly_NS_as_to_dilution_used_in_coffee_or_tea_	Milk evaporated whole formerly NS as to dilution used in coffee or tea 
11220000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;Milk_condensed_sweetened_formerly_NS_as_to_dilution_	Milk condensed sweetened formerly NS as to dilution 
11320000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Milk_soy_ready_to_drink_not_babys	Milk soy ready to drink not babys
11320100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Milk_soy_light_ready_to_drink_not_babys	Milk soy light ready to drink not babys
11350000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Milk_almond_ready_to_drink	Milk almond ready to drink
11350010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Milk_almond_ready_to_drink_chocolate	Milk almond ready to drink chocolate
11411010.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_plain_NS_as_to_type_of_milk	Yogurt plain NS as to type of milk
11411100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_plain_whole_milk	Yogurt plain whole milk
11411200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_plain_lowfat_milk	Yogurt plain lowfat milk
11411300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_plain_nonfat_milk	Yogurt plain nonfat milk
11430000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_fruit_variety_NS_as_to_type_of_milk	Yogurt fruit variety NS as to type of milk
11431000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_fruit_variety_whole_milk	Yogurt fruit variety whole milk
11432000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_fruit_variety_lowfat_milk	Yogurt fruit variety lowfat milk
11433000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_fruit_variety_nonfat_milk	Yogurt fruit variety nonfat milk
11460000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_frozen_flavors_other_than_chocolate_NS_as_to_type_of_milk	Yogurt frozen flavors other than chocolate NS as to type of milk
11460170.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_frozen_flavors_other_than_chocolate_lowfat_milk	Yogurt frozen flavors other than chocolate lowfat milk
11460250.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_frozen_flavors_other_than_chocolate_with_sorbet_or_sorbet_coated	Yogurt frozen flavors other than chocolate with sorbet or sorbet coated
11511000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Milk_chocolate_NFS	Milk chocolate NFS
11511100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Milk_chocolate_whole_milk_based	Milk chocolate whole milk based
11511200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Milk_chocolate_reduced_fat_milk_based_2_formerly_lowfat_	Milk chocolate reduced fat milk based 2 formerly lowfat 
11511400.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Milk_chocolate_lowfat_milk_based	Milk chocolate lowfat milk based
11513200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Cocoa_and_sugar_mixture_lowfat_milk_added	Cocoa and sugar mixture lowfat milk added
11513500.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Chocolate_syrup_whole_milk_added	Chocolate syrup whole milk added
11513600.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Chocolate_syrup_lowfat_milk_added	Chocolate syrup lowfat milk added
11514100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Cocoa_sugar_and_dry_milk_mixture_water_added	Cocoa sugar and dry milk mixture water added
11541110.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Milk_shake_homemade_or_fountain_type_chocolate	Milk shake homemade or fountain type chocolate
11541120.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Milk_shake_homemade_or_fountain_type_flavors_other_than_chocolate	Milk shake homemade or fountain type flavors other than chocolate
11542100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Carry_out_milk_shake_chocolate	Carry out milk shake chocolate
11542200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Carry_out_milk_shake_flavors_other_than_chocolate	Carry out milk shake flavors other than chocolate
11551050.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Milk_fruit_drink	Milk fruit drink
11710801.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Infant_formulas_fluid_reconstituted;Pediasure_with_iron_infant_formula_ready_to_feed	Pediasure with iron infant formula ready to feed
11810000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;Milk_dry_not_reconstituted_NS_as_to_whole_lowfat_or_nonfat	Milk dry not reconstituted NS as to whole lowfat or nonfat
11811000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;Milk_dry_whole_not_reconstituted	Milk dry whole not reconstituted
11813000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;Milk_dry_nonfat_not_reconstituted	Milk dry nonfat not reconstituted
11830160.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;Cocoa_or_chocolate_flavored_beverage_powder_with_sugar_dry_mix_not_reconstituted	Cocoa or chocolate flavored beverage powder with sugar dry mix not reconstituted
11830165.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;Cocoa_or_chocolate_flavored_beverage_powder_with_reduced_sugar_dry_mix_not_reconstituted	Cocoa or chocolate flavored beverage powder with reduced sugar dry mix not reconstituted
11830260.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;Milk_malted_dry_mix_fortified_not_reconstituted_chocolate	Milk malted dry mix fortified not reconstituted chocolate
11830400.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;Milk_beverage_powder_dry_mix_not_reconstituted_flavors_other_than_chocolate	Milk beverage powder dry mix not reconstituted flavors other than chocolate
12100100.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;Cream_NS_as_to_light_heavy_or_half_and_half	Cream NS as to light heavy or half and half
12110100.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;Cream_light_fluid	Cream light fluid
12120100.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;Cream_half_and_half	Cream half and half
12120110.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;Cream_half_and_half_fat_free	Cream half and half fat free
12140000.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;Cream_heavy_whipped_sweetened	Cream heavy whipped sweetened
12200100.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Cream_substitute_NS_as_to_frozen_liquid_or_powdered	Cream substitute NS as to frozen liquid or powdered
12210200.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Cream_substitute_liquid	Cream substitute liquid
12210210.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Cream_substitute_flavored_liquid	Cream substitute flavored liquid
12210260.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Cream_substitute_fat_free_liquid	Cream substitute fat free liquid
12210270.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Cream_substitute_fat_free_flavored_liquid	Cream substitute fat free flavored liquid
12210310.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Cream_substitute_sugar_free_flavored_liquid	Cream substitute sugar free flavored liquid
12210400.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Cream_substitute_powdered	Cream substitute powdered
12210420.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Cream_substitute_flavored_powdered	Cream substitute flavored powdered
12210430.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Cream_substitute_fat_free_powder	Cream substitute fat free powder
12210505.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Cream_substitute_sugar_free_flavored_powder	Cream substitute sugar free flavored powder
12220200.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Whipped_topping_nondairy_frozen	Whipped topping nondairy frozen
12220270.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Whipped_topping_nondairy_frozen_fat_free	Whipped topping nondairy frozen fat free
12310100.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;Sour_cream	Sour cream
12310300.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;Sour_cream_reduced_fat	Sour cream reduced fat
12310350.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;Sour_cream_light	Sour cream light
13110000.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_NFS	Ice cream NFS
13110100.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_regular_flavors_other_than_chocolate	Ice cream regular flavors other than chocolate
13110110.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_regular_chocolate	Ice cream regular chocolate
13110120.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_rich_flavors_other_than_chocolate	Ice cream rich flavors other than chocolate
13110320.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_no_sugar_added_flavors_other_than_chocolate	Ice cream no sugar added flavors other than chocolate
13120050.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_bar_or_stick_not_chocolate_covered_or_cake_covered	Ice cream bar or stick not chocolate covered or cake covered
13120100.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_bar_or_stick_chocolate_covered	Ice cream bar or stick chocolate covered
13120110.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_bar_or_stick_chocolate_or_caramel_covered_with_nuts	Ice cream bar or stick chocolate or caramel covered with nuts
13120130.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_bar_or_stick_rich_ice_cream_chocolate_covered_with_nuts	Ice cream bar or stick rich ice cream chocolate covered with nuts
13120300.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_bar_cake_covered	Ice cream bar cake covered
13120500.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_sandwich	Ice cream sandwich
13120720.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_cone_chocolate_covered_or_dipped_flavors_other_than_chocolate	Ice cream cone chocolate covered or dipped flavors other than chocolate
13120730.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_cone_no_topping_flavors_other_than_chocolate	Ice cream cone no topping flavors other than chocolate
13120800.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Ice_cream_soda_flavors_other_than_chocolate	Ice cream soda flavors other than chocolate
13130300.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Light_ice_cream_flavors_other_than_chocolate_formerly_ice_milk_	Light ice cream flavors other than chocolate formerly ice milk 
13130310.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Light_ice_cream_chocolate_formerly_ice_milk_	Light ice cream chocolate formerly ice milk 
13130330.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Light_ice_cream_no_sugar_added_flavors_other_than_chocolate	Light ice cream no sugar added flavors other than chocolate
13130600.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Light_ice_cream_soft_serve_flavors_other_than_chocolate_formerly_ice_milk_	Light ice cream soft serve flavors other than chocolate formerly ice milk 
13130620.0	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;Light_ice_cream_soft_serve_cone_flavors_other_than_chocolate_formerly_ice_milk_	Light ice cream soft serve cone flavors other than chocolate formerly ice milk 
