FoodCodes	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
11100000	MILK, NFS	Milk_NFS	Milk, NFS	0	11100000.0
11111000	MILK, COWS, FLUID, WHOLE	Milk_cows_fluid_whole	Milk, cows, fluid, whole	0	11111000.0
11112110	MILK, COWS, FLUID, 2% FAT	Milk_cows_fluid_2_fat	Milk, cows, fluid, 2% fat	0	11112110.0
11112210	MILK, COWS, FLUID, 1% FAT	Milk_cows_fluid_1_fat	Milk, cows, fluid, 1% fat	0	11112210.0
11113000	MILK, COWS, FLUID, SKIM OR NONFAT	Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat	Milk, cows, fluid, skim or nonfat, 0.5% or less butterfat	0	11113000.0
11114300	MILK, LOW LACTOSE, 1% FAT	Milk_cows_fluid_lactose_reduced_1_fat	Milk, cows, fluid, lactose reduced, 1% fat	0	11114300.0
11114320	MILK, LOW LACTOSE, NONFAT	Milk_cows_fluid_lactose_reduced_nonfat	Milk, cows, fluid, lactose reduced, nonfat	0	11114320.0
11114330	MILK, COWS FL LACTOSE REDUCED 2% FAT (LACTAID)	Milk_cows_fluid_lactose_reduced_2_fat	Milk, cows, fluid, lactose reduced, 2% fat	0	11114330.0
11114350	MILK, COWS, FLUID, LACTOSE REDUCED, WHOLE	Milk_cows_fluid_lactose_reduced_whole	Milk, cows, fluid, lactose reduced, whole	0	11114350.0
11115000	BUTTERMILK, FLUID (INCLUDE KEFIR MILK)	Buttermilk_fluid_nonfat	Buttermilk, fluid, nonfat	0	11115000.0
11115100	BUTTERMILK, FLUID, 1% FAT	Buttermilk_fluid_1_fat	Buttermilk, fluid, 1% fat	0	11115100.0
11115200	BUTTERMILK, FLUID, 2% FAT	Buttermilk_fluid_2_fat	Buttermilk, fluid, 2% fat	0	11115200.0
11116000	MILK, GOATS, FLUID, WHOLE	Milk_goats_fluid_whole	Milk, goats, fluid, whole	0	11116000.0
11120000	MILK, DRY, RECONSTITUTED, NFS	Milk_dry_reconstituted_NFS	Milk, dry, reconstituted, NFS	0	11120000.0
11121100	MILK, DRY, RECONSTITUTED, WHOLE	Milk_dry_reconstituted_whole	Milk, dry, reconstituted, whole	0	11121100.0
11121300	MILK, DRY, RECONSTITUTED, NONFAT	Milk_dry_reconstituted_nonfat	Milk, dry, reconstituted, nonfat	0	11121300.0
11210050	MILK, EVAPORATED, NS AS TO FAT CONTENT	Milk_evaporated_NS_as_to_fat_content_formerly_NS_as_to_dilution_used_in_coffee_or_tea_assume_undiluted_	Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)	0	11210050.0
