Food	Axis	correlation	pval	qval	Significance
Beans dry cooked NS as to type fat added in cooking	Axis.1	0.066134276201544	0.0797235769064573	0.21811167266861	*
Beans dry cooked NS as to type fat added in cooking	Axis.2	0.0435375532964057	0.248970507333621	0.464317987953376	
Beans dry cooked NS as to type fat added in cooking	Axis.3	0.00946841882871856	0.80211880660023	0.88989580276438	
Beans dry cooked NS as to type fat added in cooking	Axis.4	0.0377324254647282	0.31778572096097	0.54051530251426	
Beans dry cooked NS as to type fat added in cooking	Axis.5	0.0306561374386207	0.417040916722431	0.628269432984441	
Beans dry cooked NS as to type fat added in cooking	Axis.6	-0.0698162912341623	0.0643015568844571	0.185546781059627	*
Beans dry cooked NS as to type fat added in cooking	Axis.7	-0.116367240233432	0.00199892197594295	0.00846258938720375	*
Beans dry cooked NS as to type fat added in cooking	Axis.8	0.119428379361327	0.00151253878083706	0.00659603378109397	*
Beans dry cooked NS as to type fat added in cooking	Axis.9	0.0842785425002502	0.0254453398292683	0.0824485871562882	*
Beans dry cooked NS as to type fat added in cooking	Axis.10	-0.140341533501183	0.000189284903572878	0.00094642451786439	*
Beans dry cooked NS as to type fat not added in cooking	Axis.1	0.0602557529393718	0.110435792613321	0.273729742374898	
Beans dry cooked NS as to type fat not added in cooking	Axis.2	0.0192997280513453	0.609454142963714	0.778597803786243	
Beans dry cooked NS as to type fat not added in cooking	Axis.3	0.0349003570421213	0.355492570866901	0.568937277805112	
Beans dry cooked NS as to type fat not added in cooking	Axis.4	0.0720028191217229	0.0563688283238942	0.16512081024171	*
Beans dry cooked NS as to type fat not added in cooking	Axis.5	-0.0311122827069792	0.410140127697955	0.624360299382714	
Beans dry cooked NS as to type fat not added in cooking	Axis.6	-0.0410474791600213	0.277098580001086	0.496040667903179	
Beans dry cooked NS as to type fat not added in cooking	Axis.7	-0.0939722451450292	0.0126783767299465	0.045113242351957	*
Beans dry cooked NS as to type fat not added in cooking	Axis.8	0.0589718732297346	0.118248849967623	0.282240053420663	
Beans dry cooked NS as to type fat not added in cooking	Axis.9	0.0818635616939339	0.0299823337575967	0.0934932988140113	*
Beans dry cooked NS as to type fat not added in cooking	Axis.10	-0.140910194137665	0.000178121104513065	0.00089834991841372	*
Beans canned drained NS as to type fat added in cooking	Axis.1	0.0223221663115445	0.554605119650879	0.739519599346099	
Beans canned drained NS as to type fat added in cooking	Axis.2	0.00167401756806925	0.964660334747779	0.978152087681314	
