Food	Axis	correlation	pval	qval	Significance
Beans dry cooked NS as to type fat added in cooking	Axis.1	0.0661211986239413	0.0797832769651951	0.16423029454631	*
Beans dry cooked NS as to type fat added in cooking	Axis.2	0.0435326691315281	0.249023654581796	0.342768859204455	
Beans dry cooked NS as to type fat added in cooking	Axis.3	0.00946605298501704	0.802167226654704	0.859013723031809	
Beans dry cooked NS as to type fat added in cooking	Axis.4	0.0377227794036169	0.317909541435196	0.416093996444011	
Beans dry cooked NS as to type fat added in cooking	Axis.5	0.0306542547449969	0.417069539864985	0.510528325644786	
Beans dry cooked NS as to type fat added in cooking	Axis.6	-0.0698092416720024	0.0643285479520783	0.137067419299296	*
Beans dry cooked NS as to type fat added in cooking	Axis.7	-0.116357807612092	0.00200062029114627	0.00814287557098132	*
Beans dry cooked NS as to type fat added in cooking	Axis.8	0.119425111284359	0.00151299425653269	0.00645108037596207	*
Beans dry cooked NS as to type fat added in cooking	Axis.9	0.0842747356268132	0.0254519971350061	0.0640604190813428	*
Beans dry cooked NS as to type fat added in cooking	Axis.10	-0.14033655883547	0.000189385398995443	0.00113172123278489	*
Beans dry cooked NS as to type fat added in cooking	Axis.11	-0.062487305349428	0.0978297436732538	0.17805284219996	*
Beans dry cooked NS as to type fat added in cooking	Axis.12	-0.152770839693604	4.75654422566498e-05	0.000349996463172065	*
Beans dry cooked NS as to type fat added in cooking	Axis.13	0.152851034020295	4.71265378570563e-05	0.000347415075342486	*
Beans dry cooked NS as to type fat added in cooking	Axis.14	-0.141658813993636	0.000164364647727952	0.0010003922386405	*
Beans dry cooked NS as to type fat added in cooking	Axis.15	-0.0424198090842446	0.261340173699694	0.355794496541843	
Beans dry cooked NS as to type fat added in cooking	Axis.16	-0.114452681885822	0.00237201459224583	0.00943067091917094	*
Beans dry cooked NS as to type fat added in cooking	Axis.17	-0.0900936415114648	0.0168774884011747	0.0476483996093294	*
Beans dry cooked NS as to type fat added in cooking	Axis.18	0.0369854154634772	0.32746797594079	0.425967578202663	
Beans dry cooked NS as to type fat added in cooking	Axis.19	-0.056583361445671	0.13392793514867	0.214871541917225	*
Beans dry cooked NS as to type fat added in cooking	Axis.20	-0.0224461845094929	0.552406966829497	0.64003909435239	
