Food	Axis	correlation	pval	qval	Significance
Beans dry cooked NS as to type fat added in cooking	Axis.1	0.0712007870879375	0.059178636271738	0.13319553207231	*
Beans dry cooked NS as to type fat added in cooking	Axis.2	0.0783404769019856	0.0378360117825661	0.0934871860636498	*
Beans dry cooked NS as to type fat added in cooking	Axis.3	0.152389770270828	4.97044107820178e-05	0.000376455399874801	*
Beans dry cooked NS as to type fat added in cooking	Axis.4	-0.122232314940161	0.00116504583944945	0.00564963923024553	*
Beans dry cooked NS as to type fat added in cooking	Axis.5	0.0723340623889644	0.0552411508246696	0.125751998521779	*
Beans dry cooked NS as to type fat added in cooking	Axis.6	-0.0465596354431837	0.217590353699649	0.313854148922792	
Beans dry cooked NS as to type fat added in cooking	Axis.7	0.0533922202002366	0.15732116582589	0.249018903139212	*
Beans dry cooked NS as to type fat added in cooking	Axis.8	0.066857965632146	0.0764759573453391	0.164504717851409	*
Beans dry cooked NS as to type fat added in cooking	Axis.9	0.122515551356367	0.00113438672356653	0.00552527809666439	*
Beans dry cooked NS as to type fat added in cooking	Axis.10	0.0413016621284921	0.274132090179266	0.37844480222681	
Beans dry cooked NS as to type fat added in cooking	Axis.11	-0.078096308793461	0.0384397368135117	0.0945548883225221	*
Beans dry cooked NS as to type fat added in cooking	Axis.12	0.077117567172188	0.0409424184674535	0.0991380854000188	*
Beans dry cooked NS as to type fat added in cooking	Axis.13	-0.105877908390765	0.00495154585606062	0.0187834889272936	*
Beans dry cooked NS as to type fat added in cooking	Axis.14	-0.0237884717861365	0.528892365019124	0.631461956935075	
Beans dry cooked NS as to type fat added in cooking	Axis.15	-0.0228667324725879	0.54498491005384	0.645951461015683	
Beans dry cooked NS as to type fat added in cooking	Axis.16	-0.062635125711023	0.0970369913429008	0.184738422322465	*
Beans dry cooked NS as to type fat added in cooking	Axis.17	0.132749700621466	0.000416956626588828	0.00239627745763175	*
Beans dry cooked NS as to type fat added in cooking	Axis.18	-0.0419487405031772	0.266678232678852	0.369775919990053	
Beans dry cooked NS as to type fat added in cooking	Axis.19	-0.0165251395907278	0.661821182351091	0.75207728069183	
Beans dry cooked NS as to type fat added in cooking	Axis.20	0.0956747621042323	0.0111473697296705	0.0377691051255863	*
Beans dry cooked NS as to type fat added in cooking	Axis.21	0.131769875274486	0.000460337521661876	0.00261154156433147	*
Beans dry cooked NS as to type fat added in cooking	Axis.22	-0.141511825714818	0.000166984379581242	0.00109533801368172	*
Beans dry cooked NS as to type fat added in cooking	Axis.23	-0.0345471108456011	0.360385816312442	0.470690571349702	
Beans dry cooked NS as to type fat added in cooking	Axis.24	-0.0728754514864529	0.0534384844568739	0.122621988280011	*
Beans dry cooked NS as to type fat added in cooking	Axis.25	-0.0123012291103588	0.744735709692846	0.82337471992126	
Beans dry cooked NS as to type fat added in cooking	Axis.26	0.150640085595154	6.07471974783157e-05	0.000450039741990615	*
Beans dry cooked NS as to type fat added in cooking	Axis.27	0.156436926648008	3.09873096883626e-05	0.000253798626665003	*
Beans dry cooked NS as to type fat added in cooking	Axis.28	0.159022847476054	2.27704311609131e-05	0.000192283640914377	*
Beans dry cooked NS as to type fat added in cooking	Axis.29	0.15605668761028	3.2410261636317e-05	0.000262495639439995	*
Beans dry cooked NS as to type fat added in cooking	Axis.30	0.107740342188027	0.00423790119796214	0.016575570967717	*
Beans dry cooked NS as to type fat added in cooking	Axis.31	-0.0289189213611147	0.443940435126468	0.549688044392548	
Beans dry cooked NS as to type fat added in cooking	Axis.32	-0.00593015211503893	0.875280705672461	0.926347503146268	
Beans dry cooked NS as to type fat added in cooking	Axis.33	-0.100529254920397	0.00764259911357751	0.0272120976515749	*
Beans dry cooked NS as to type fat added in cooking	Axis.34	0.00910138303845664	0.809639624354437	0.874942746789497	
Beans dry cooked NS as to type fat added in cooking	Axis.35	-0.101508653455649	0.00706878330708643	0.025477675239278	*
Beans dry cooked NS as to type fat added in cooking	Axis.36	0.0844001789300859	0.0252334170113639	0.0692583450722865	*
Beans dry cooked NS as to type fat added in cooking	Axis.37	-0.0504607027022805	0.181420840160739	0.275949987380448	
Beans dry cooked NS as to type fat added in cooking	Axis.38	-0.047652573278818	0.206971856901396	0.302196735747384	
Beans dry cooked NS as to type fat added in cooking	Axis.39	0.0299924008971944	0.427203339113017	0.532855777818387	
Beans dry cooked NS as to type fat added in cooking	Axis.40	0.0035048507727792	0.92609181113982	0.96142550718425	
Beans dry cooked NS as to type fat added in cooking	Axis.41	-0.0523375576269415	0.165696106421096	0.257905521576338	
Beans dry cooked NS as to type fat added in cooking	Axis.42	-0.0522443439633775	0.166452104254668	0.258899391515377	
Beans dry cooked NS as to type fat added in cooking	Axis.43	-0.0542451953228724	0.150785177870407	0.24221853838527	*
Beans dry cooked NS as to type fat added in cooking	Axis.44	0.057239537162964	0.129468786338725	0.218490968675766	*
Beans dry cooked NS as to type fat added in cooking	Axis.45	-0.0974501550990256	0.00972758004609349	0.0334732028440126	*
Beans dry cooked NS as to type fat added in cooking	Axis.46	-0.101401783264866	0.0071294636887453	0.0256753888398605	*
Beans dry cooked NS as to type fat added in cooking	Axis.47	0.00125318790002008	0.973540543056765	0.992048093406352	
Beans dry cooked NS as to type fat added in cooking	Axis.48	-0.00102643914661738	0.978326747530699	0.993197674600489	
Beans dry cooked NS as to type fat added in cooking	Axis.49	-0.00316602827155091	0.933219132457612	0.964673764473235	
Beans dry cooked NS as to type fat added in cooking	Axis.50	0.00467696405057932	0.901484942020278	0.945229691823355	
Beans dry cooked NS as to type fat added in cooking	Axis.51	-0.0348189402679685	0.356616648727771	0.467013127626862	
Beans dry cooked NS as to type fat added in cooking	Axis.52	-0.0485294362954851	0.198727946030979	0.29306456116214	
Beans dry cooked NS as to type fat added in cooking	Axis.53	0.00662232090602206	0.860863829528684	0.914823471688149	
Beans dry cooked NS as to type fat added in cooking	Axis.54	0.00938059159272947	0.803916811574766	0.871107498874525	
Beans dry cooked NS as to type fat added in cooking	Axis.55	-0.000535222439915168	0.988697773494957	0.997350382473736	
Beans dry cooked NS as to type fat added in cooking	Axis.56	-0.0172949034837229	0.647112068581049	0.740324422088052	
Beans dry cooked NS as to type fat added in cooking	Axis.57	0.0316000184330959	0.402836859726426	0.510994209402614	
Beans dry cooked NS as to type fat added in cooking	Axis.58	-0.00319355892459711	0.932639802533194	0.964588514680037	
Beans dry cooked NS as to type fat added in cooking	Axis.59	-0.030318216229431	0.422196922247956	0.528255473536472	
Beans dry cooked NS as to type fat added in cooking	Axis.60	-0.0160562399207206	0.670845919362623	0.75861693497959	
Beans dry cooked NS as to type fat added in cooking	Axis.61	-0.00711223695065887	0.850687185274917	0.906193599007209	
Beans dry cooked NS as to type fat added in cooking	Axis.62	0.0292239256166074	0.439147364304056	0.545131394495151	
Beans dry cooked NS as to type fat added in cooking	Axis.63	0.00228829814683269	0.951706139077751	0.978032340159252	
Beans dry cooked NS as to type fat added in cooking	Axis.64	0.00821433134501053	0.827887218474376	0.889841314527344	
Beans dry cooked NS as to type fat added in cooking	Axis.65	0.00542137626562918	0.885904452633971	0.934485239984683	
Beans dry cooked NS as to type fat added in cooking	Axis.66	0.0117066089196998	0.75667577734354	0.834482568559	
Beans dry cooked NS as to type fat added in cooking	Axis.67	0.0806631593103742	0.0324847502786864	0.0833956995344501	*
Beans dry cooked NS as to type fat added in cooking	Axis.68	-0.000197483856931032	0.995829637430741	0.998618495278503	
Beans dry cooked NS as to type fat added in cooking	Axis.69	-0.0467189142813922	0.216018997123345	0.312507955142666	
Beans dry cooked NS as to type fat added in cooking	Axis.70	-0.00206675202193245	0.956376904040751	0.980169586842974	
Beans dry cooked NS as to type fat added in cooking	Axis.71	-0.00346583085028907	0.926912326515889	0.962050750007544	
Beans dry cooked NS as to type fat added in cooking	Axis.72	-0.0112468248795783	0.76594838417998	0.841970193881634	
Beans dry cooked NS as to type fat added in cooking	Axis.73	-0.0136174982707943	0.718525186085419	0.801229198144327	
Beans dry cooked NS as to type fat added in cooking	Axis.74	-0.0289913238839104	0.442799956112447	0.548429954072399	
Beans dry cooked NS as to type fat added in cooking	Axis.75	-0.0344311261954662	0.36200161764103	0.472381033321984	
Beans dry cooked NS as to type fat added in cooking	Axis.76	0.0324484836537634	0.390318964614676	0.499282065009139	
Beans dry cooked NS as to type fat not added in cooking	Axis.1	0.165266831347926	1.06061048432632e-05	9.719690259689e-05	*
Beans dry cooked NS as to type fat not added in cooking	Axis.2	0.125734682365047	0.000834521936512051	0.00431760177725594	*
Beans dry cooked NS as to type fat not added in cooking	Axis.3	0.164985875836182	1.0983786712667e-05	0.000100034156672389	*
Beans dry cooked NS as to type fat not added in cooking	Axis.4	-0.0923237725960211	0.0143348242144598	0.046948581587442	*
Beans dry cooked NS as to type fat not added in cooking	Axis.5	0.151748897709032	5.35081818841247e-05	0.000399769602958003	*
Beans dry cooked NS as to type fat not added in cooking	Axis.6	-0.0929568003903917	0.0136774539265813	0.0450936551296712	*
Beans dry cooked NS as to type fat not added in cooking	Axis.7	0.027256995993143	0.470574885099907	0.575381479508605	
Beans dry cooked NS as to type fat not added in cooking	Axis.8	-0.0108185428553218	0.77461591482287	0.848324708705394	
Beans dry cooked NS as to type fat not added in cooking	Axis.9	0.0748580912148234	0.047250176060443	0.110845543413748	*
Beans dry cooked NS as to type fat not added in cooking	Axis.10	0.169371444200804	6.31943784440961e-06	6.05567000394729e-05	*
Beans dry cooked NS as to type fat not added in cooking	Axis.11	-0.165707112871325	1.00390280995651e-05	9.29664618968126e-05	*
Beans dry cooked NS as to type fat not added in cooking	Axis.12	0.171830733884953	4.60639453120642e-06	4.61476979399044e-05	*
Beans dry cooked NS as to type fat not added in cooking	Axis.13	0.03580495599108	0.343153664067151	0.454786936622971	
Beans dry cooked NS as to type fat not added in cooking	Axis.14	-0.123054515967561	0.00107809223705551	0.00532761275890209	*
Beans dry cooked NS as to type fat not added in cooking	Axis.15	-0.0164184601470737	0.663870157254143	0.753434514206041	
Beans dry cooked NS as to type fat not added in cooking	Axis.16	-0.049497279266327	0.189909709682667	0.28451080618123	
Beans dry cooked NS as to type fat not added in cooking	Axis.17	0.109605321267749	0.00361786587305074	0.0146039860516554	*
Beans dry cooked NS as to type fat not added in cooking	Axis.18	0.0757969508292723	0.0445365101866676	0.10571725196706	*
Beans dry cooked NS as to type fat not added in cooking	Axis.19	0.0498323063637084	0.186925229041355	0.281601643750613	
Beans dry cooked NS as to type fat not added in cooking	Axis.20	0.0242158609172425	0.521513380418889	0.624512627244353	
Beans dry cooked NS as to type fat not added in cooking	Axis.21	-0.00828624988162997	0.826404178158124	0.889671277899937	
Beans dry cooked NS as to type fat not added in cooking	Axis.22	0.022385305119786	0.553485486505552	0.652880821006866	
Beans dry cooked NS as to type fat not added in cooking	Axis.23	-0.00297403662515178	0.937260193885497	0.967777684386805	
Beans dry cooked NS as to type fat not added in cooking	Axis.24	-0.0442761433664355	0.241024425928678	0.340088242475548	
Beans dry cooked NS as to type fat not added in cooking	Axis.25	-0.0827162817030025	0.028306807501355	0.0754848200036133	*
Beans dry cooked NS as to type fat not added in cooking	Axis.26	-0.0457717955584629	0.225483378976892	0.323004261987879	
Beans dry cooked NS as to type fat not added in cooking	Axis.27	-0.021079846651362	0.576856988328572	0.673585590609893	
Beans dry cooked NS as to type fat not added in cooking	Axis.28	-0.116837052145097	0.00191598570593673	0.0085964028425169	*
Beans dry cooked NS as to type fat not added in cooking	Axis.29	-0.0235523838924084	0.532991098085308	0.634808095206711	
Beans dry cooked NS as to type fat not added in cooking	Axis.30	-0.1092606706955	0.00372584458483358	0.014897020191743	*
Beans dry cooked NS as to type fat not added in cooking	Axis.31	0.0062294484935537	0.869041434945768	0.92114607675279	
Beans dry cooked NS as to type fat not added in cooking	Axis.32	0.0162697320272768	0.666730941702298	0.755624960018049	
Beans dry cooked NS as to type fat not added in cooking	Axis.33	0.0180688544520076	0.632460349112788	0.727717363322675	
Beans dry cooked NS as to type fat not added in cooking	Axis.34	-0.049520971953064	0.189697506845812	0.284499760812633	
Beans dry cooked NS as to type fat not added in cooking	Axis.35	0.0142219687981947	0.706596226044626	0.790928431793985	
Beans dry cooked NS as to type fat not added in cooking	Axis.36	-0.0567242916601872	0.13296036047505	0.221586915613707	*
Beans dry cooked NS as to type fat not added in cooking	Axis.37	-0.00730203332808821	0.846751256087124	0.903529299644649	
Beans dry cooked NS as to type fat not added in cooking	Axis.38	-0.0570036598334491	0.131058294468235	0.219827484833326	*
Beans dry cooked NS as to type fat not added in cooking	Axis.39	-0.0215079354358655	0.569141976733011	0.666873427283124	
Beans dry cooked NS as to type fat not added in cooking	Axis.40	0.0870599404077517	0.0209659548011318	0.0606965702183599	*
Beans dry cooked NS as to type fat not added in cooking	Axis.41	-0.0731095055244491	0.0526744732909854	0.121121063258562	*
Beans dry cooked NS as to type fat not added in cooking	Axis.42	-0.109474867294441	0.00365839842347455	0.0147271417814391	*
Beans dry cooked NS as to type fat not added in cooking	Axis.43	0.0528497900431725	0.161587652752004	0.253750756441337	
Beans dry cooked NS as to type fat not added in cooking	Axis.44	0.0902510841484332	0.0166858231439345	0.0516510592826287	*
Beans dry cooked NS as to type fat not added in cooking	Axis.45	-0.1188747728395	0.00159151896963868	0.00729472636379761	*
Beans dry cooked NS as to type fat not added in cooking	Axis.46	0.170983163186906	5.1393153731572e-06	5.05671923323145e-05	*
Beans dry cooked NS as to type fat not added in cooking	Axis.47	-0.112666813393936	0.00277630250741324	0.0117672513968054	*
Beans dry cooked NS as to type fat not added in cooking	Axis.48	-0.111197569789442	0.00315495739629278	0.0130460151996797	*
Beans dry cooked NS as to type fat not added in cooking	Axis.49	-0.110084416112449	0.00347248203962436	0.0141205727220149	*
Beans dry cooked NS as to type fat not added in cooking	Axis.50	0.0675777753173845	0.0733533557810008	0.158656325948308	*
Beans dry cooked NS as to type fat not added in cooking	Axis.51	0.0405314813509434	0.28318754718007	0.388512514151804	
Beans dry cooked NS as to type fat not added in cooking	Axis.52	0.062988585699099	0.095162180871573	0.182698124251696	*
Beans dry cooked NS as to type fat not added in cooking	Axis.53	-0.050183842451614	0.183830999904749	0.278080661489408	
Beans dry cooked NS as to type fat not added in cooking	Axis.54	-0.063099247888585	0.0945811982586457	0.182343328233153	*
Beans dry cooked NS as to type fat not added in cooking	Axis.55	-0.0277323621619393	0.462867908770492	0.568334747036303	
Beans dry cooked NS as to type fat not added in cooking	Axis.56	0.0227823638708931	0.546469922120428	0.647537477609368	
Beans dry cooked NS as to type fat not added in cooking	Axis.57	-0.00772128636111699	0.838070581094519	0.896871843035844	
Beans dry cooked NS as to type fat not added in cooking	Axis.58	-0.0424938871003119	0.260507490533133	0.362359425140439	
