Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
SEQN	83733	86250.5	88721	88746.4165270798	91303.5	93697	2902.31229172513
GRMS	661.505	2235.125	2920.395	3129.92033500838	3796.33	11088.225	1236.7258108475
KCAL	604	1493.25	1902	1991.81574539363	2411.5	5136	705.473253414097
PROT	16.705	56.975	74.335	78.6443662758236	95.08	210.98	30.6783926778066
CARB	54.135	169.0175	226.67	237.522024008934	289.215	822.645	92.0215855143774
SUGR	4.855	60.5275	90.54	99.3458821887214	124.93	372.13	53.5003207130582
FIBE	1.15	10.8	15.25	16.8959519821329	21.125	64.4	8.57902952383761
TFAT	15.435	54.115	73.645	78.7128503629257	97.045	222.17	33.8924196314904
SFAT	4.465	16.24425	23.449	25.4164497487437	32.06175	85.2545	12.2280757326054
MFAT	5.028	18.4965	25.84	27.7526426577331	34.19125	90.354	12.7624246992192
PFAT	2.298	11.85725	16.5635	18.3471895589056	22.80375	67.851	9.2245235978301
CHOL	0	169.5	259.5	294.784198771636	378.25	1260.5	174.100064887286
ATOC	1.16	5.25	7.315	8.44184533780011	10.445	77.88	5.17715170370901
ATOA	0	0	0	0.683394751535455	0	58.81	3.01525161405138
RET	0.5	193.25	314	397.79927414852	493.5	9914	507.564203269708
VARA	22.5	313.75	491	607.651312116136	736	10021.5	589.636902519273
ACAR	0	25	90	407.532104969291	446.75	10667	806.361873414207
BCAR	21.5	466.75	1154	2275.53322166387	2748.75	32144.5	3120.09833086824
CRYP	0	16.5	44.5	96.0248464544947	102.25	3956	201.072505120093
LYCO	0	821.75	2511.5	4752.91959798995	6337	47630	6100.44360091047
LZ	14	472	836.5	1657.5212171971	1560.75	51701.5	2845.79794660505
VB1	0.2815	1.04975	1.433	1.52127331099944	1.88375	4.976	0.644611275598001
VB2	0.258	1.31725	1.808	1.95414879955332	2.364	8.166	0.925546413003076
NIAC	4.387	16.6645	22.662	24.3362526521496	30.17275	115.901	10.9992449711148
VB6	0.326	1.276	1.735	1.94915912897822	2.3475	20.5435	1.14368607374504
FOLA	57.5	245.5	341	378.2936906756	463	1898.5	194.273120276188
FA	0	76	130	164.965103294249	210.5	1429	139.474983377821
FF	21.5	136	191.5	213.108040201005	263.5	884	111.089635770141
FDFE	68.5	307	435.5	493.462032384143	611.5	2899	280.460900010589
CHL	55.85	221.975	297.35	323.925321049693	397.125	1233.15	148.51780375789
VB12	0.025	2.37	3.685	4.72425739810162	5.6575	105.505	5.68968953617566
B12A	0	0	0	0.838308207705193	0.9625	18.565	1.89098414031462
VC	5	30.575	60.45	76.8872417643774	107.3	392.8	60.9037393517406
VD	0	1.75	3.3	4.47615857063093	5.7	49.8	4.60764224119951
VK	5.6	47.65	77.4	118.132439977666	132.55	2354.15	140.110043374208
CALC	94	579.75	811.5	886.947515354551	1108.75	3372	434.783604151943
PHOS	343	949.25	1238.5	1304.41010608599	1585.25	3803	500.558356688691
MAGN	50	204.5	265	286.902010050251	350.25	1019	118.71699142003
IRON	2.53	9.23	12.52	13.6102400893356	16.6475	71.325	6.47774631462414
ZINC	1.78	7.1775	9.675	10.5532077051926	12.94	45.985	4.86189706788758
COPP	0.255	0.806	1.0715	1.20311306532663	1.41025	18.9055	0.966112177969712
SODI	587	2409.25	3178.5	3378.77024008934	4064	8951.5	1340.75536945722
POTA	483	1839	2409	2510.17364600782	3052.5	7730	935.989867531012
SELE	19.1	78.125	105.3	112.751507537688	136.8	355	48.3955193856698
CAFF	0	24.25	89	134.022613065327	185.75	1255	156.039458077726
THEO	0	0	7.5	29.4003350083752	38.5	631	53.2439414016007
ALCO	0	0	0	6.36125069793412	0	234.35	17.8886640675605
MOIS	476.21	1859.88	2517.555	2710.54738972641	3336.245	10735.85	1175.79934838592
S040	0	0.207	0.378	0.460730876605248	0.6155	3.0825	0.364509138280068
S060	0	0.1335	0.2485	0.296193746510329	0.40025	1.8715	0.2296754088859
S080	0	0.1175	0.205	0.259489391401452	0.327	2.9055	0.237132730786578
S100	0.0055	0.2375	0.4065	0.485788386376326	0.64325	3.3095	0.359600374328231
S120	0.0025	0.31275	0.5435	0.870171970965941	0.989	17.099	1.16220693873946
S140	0.0445	1.0965	1.8375	2.1112730318258	2.78075	9.6445	1.40938973926442
S160	2.658	9.2575	12.991	13.9581281407035	17.481	43.474	6.38942045941368
S180	0.856	3.84825	5.622	6.07324316024567	7.66425	20.45	2.9962141661649
M161	0.101	0.67925	0.994	1.10261864879955	1.3825	4.334	0.601616346149025
M181	4.526	17.13125	23.9865	25.8427506979341	31.80225	85.593	11.9614156647761
M201	0.023	0.1675	0.2525	0.304321049692909	0.3825	2.0075	0.211372081046784
M221	0	0.0045	0.013	0.030106085985483	0.031	1.331	0.074208032149935
P182	1.6935	10.3555	14.6165	16.1611446119486	20.126	60.659	8.21972772915053
P183	0.201	1.068	1.507	1.74475991066443	2.191	16.064	1.06519391440517
P184	0	0	0.0015	0.0123179787828029	0.0045	0.3905	0.0304874382143415
P204	0.001	0.084	0.137	0.155563930764936	0.203	1.0555	0.102207902180389
P205	0	0.004	0.008	0.0329748743718593	0.01875	1.254	0.0870468324772808
P225	0	0.0095	0.016	0.0231379117811279	0.026	0.631	0.0303376293048423
P226	0	0.006	0.0255	0.0697412060301508	0.06325	1.8165	0.151215181686968
F_CITMLB	0	0	0	0.221055758235623	0.2592	5.806085	0.488960119687059
F_OTHER	0	0	0.2055	0.484765763819095	0.76831225	5.72251	0.67320652688411
F_JUICE	0	0	0.0045	0.243857795644891	0.3176515	3.898625	0.462511499519694
F_TOTAL	0	0.11633125	0.69173	0.949679317699609	1.407675	9.4075715	1.01009200521323
