Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
SEQN	83733	86236	88721	88742.2132808103	91292	93697	2899.08014944941
GRMS	661.505	2236.69	2920.395	3132.52406584131	3804.075	11088.225	1238.89865798424
KCAL	604	1494	1904	1993.62239729882	2412	5136	706.652058533165
PROT	16.705	56.98	74.42	78.7235875070343	95.13	210.98	30.7425631223829
CARB	54.135	168.835	226.98	237.656420934159	289.585	822.645	92.2094413723574
SUGR	4.855	60.55	90.67	99.4517839054586	124.965	372.13	53.5481569479786
FIBE	1.15	10.75	15.25	16.9175295441756	21.2	64.4	8.60538314442364
TFAT	15.435	54.085	73.74	78.7875858187957	97.235	222.17	33.9442303792238
SFAT	4.465	16.2475	23.4815	25.4320675295442	32.1215	85.2545	12.2437613087246
MFAT	5.028	18.486	25.882	27.7852321328081	34.2025	90.354	12.7853558928072
PFAT	2.298	11.86	16.5975	18.366337929094	22.8305	67.851	9.24039334833116
CHOL	0	168.5	259	294.730444569499	379	1260.5	174.190451169653
ATOC	1.16	5.25	7.36	8.45253517163759	10.455	77.88	5.18991751733502
ATOA	0	0	0	0.686783905458638	0	58.81	3.02638245018841
RET	0.5	193	313.5	397.002813731007	492.5	9914	508.1464351362
VARA	22.5	313.5	491	605.674169949353	734.5	10021.5	585.387880978221
ACAR	0	25	90	399.489026449071	445.5	9921.5	765.458267296775
BCAR	21.5	467	1154.5	2265.27574563872	2744.5	32144.5	3080.51539535268
CRYP	0	16.5	44.5	96.2518289251548	102.5	3956	201.760777529757
LYCO	0	822	2510.5	4759.06133933596	6359	47630	6114.51380296336
LZ	14	470.5	837	1662.40067529544	1564.5	51701.5	2855.80528382077
VB1	0.2815	1.0495	1.432	1.52077658975802	1.885	4.976	0.646372181327441
VB2	0.258	1.3165	1.808	1.95554755205402	2.366	8.166	0.926997068432689
NIAC	4.387	16.6595	22.6845	24.3616826111424	30.21	115.901	11.0246584780532
VB6	0.326	1.277	1.7365	1.95083314575127	2.3475	20.5435	1.14671451292066
FOLA	57.5	244.5	341	378.311198649409	463.5	1898.5	194.867055061055
FA	0	75.5	129.5	164.863815419246	210	1429	139.774765616785
FF	21.5	136	191.5	213.228474957794	263.5	884	111.361662605134
FDFE	68.5	306.5	434.5	493.408553742262	611.5	2899	281.260809992439
CHL	55.85	221.85	297.2	323.932414181204	397.3	1233.15	148.705960648903
VB12	0.025	2.37	3.675	4.72458638154192	5.615	105.505	5.70927204770861
