Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
SEQN	83732	86165.5	88760	88712.4964982491	91248.5	93702	2884.30412397383
GRMS	588.915	2261.08375	2956.3175	3183.01125437719	3861.675	11901.56	1281.10845492192
KCAL	604.5	1494.625	1921	2010.9375937969	2416.25	5136	715.008035558411
PROT	13.21	57.155	74.255	79.2229277138569	96.4725	228.85	31.2126781532305
CARB	25.13	172.4225	227.4625	240.056429464732	291.81875	822.645	93.0814040063468
SUGR	2.335	61.09875	90.42	100.871058029015	127.8625	436.12	55.3907977065827
FIBE	1.15	10.95	15.55	17.102963981991	21.55	89.55	8.80806765903384
TFAT	15.11	53.55625	73.75	78.8111730865433	98.3175	228.095	34.0784178577119
SFAT	3.4935	16.369375	23.2695	25.498401825913	32.237625	97.467	12.5022803778366
MFAT	3.988	18.445375	25.83125	27.7611542021011	34.60825	100.3785	12.7271531021124
PFAT	1.775	11.76575	16.64725	18.3099210855428	22.9555	84.773	9.11132583070423
CHOL	0	166.5	260	298.731365682841	387	1751	182.401252488484
ATOC	1.01	5.20125	7.375	8.49241370685343	10.27375	97.465	5.36649332804133
ATOA	0	0	0	0.779182091045523	0	58.81	3.03562478243347
RET	0.5	193.5	317.25	396.679964982491	497.375	9914	436.398020436023
VARA	7	313.5	490.5	601.553151575788	740.5	10021.5	528.693202614419
ACAR	0	24	81.5	386.486368184092	419.125	24302	836.793055638753
BCAR	4.5	452.5	1061	2226.76488244122	2600	53020	3207.27518667945
CRYP	0	17	45.5	94.7672586293147	102.5	7314.5	217.159297904876
LYCO	0	806.625	2495.5	4801.94422211106	6199.375	71914	6568.84266325441
LZ	0.5	472.125	846.75	1660.08979489745	1593.75	45376.5	2896.4003785614
VB1	0.2375	1.055	1.44625	1.54928064032016	1.9015	8.2275	0.69448315839793
VB2	0.258	1.3295	1.81425	1.99126475737869	2.41025	11.9605	0.996433313693173
NIAC	3.9355	16.77225	22.6635	24.7330485242621	30.176625	126.4905	11.7711363938512
VB6	0.307	1.290625	1.7685	2.00723649324662	2.385375	20.5435	1.22857810543623
FOLA	45	248	343	383.435842921461	471	2358.5	199.303396436942
FA	0	76.5	132.5	168.084292146073	213.5	2134.5	146.444889301705
FF	19.5	136	192	215.134817408704	268.875	1616	113.941630252874
FDFE	45	309.5	437.75	500.805402701351	618.5	3851.5	289.7427996401
CHL	36.65	220.325	301.6	327.24335917959	406.225	1233.65	149.716884738256
VB12	0.025	2.38	3.71	4.71536268134067	5.735	105.505	4.88877888769656
B12A	0	0	0	0.947357428714357	1.07	26.995	2.21748858357203
VC	5	31.3	61.9	78.8198849424712	109.45	391.35	62.2125211623738
VD	0	1.85	3.5	4.61793396698349	5.85	49.8	4.50030380467726
VK	1.9	48.4125	77.375	117.626713356678	130.6375	2027.3	139.912962004798
CALC	94	579.25	816	897.70060030015	1116.5	4356.5	445.028975597636
PHOS	196.5	951.5	1246	1316.76613306653	1601.375	4525.5	502.450758689132
MAGN	49	204.625	272.5	290.693096548274	353.5	1480	119.781035037405
IRON	1.35	9.32625	12.5225	13.7715582791396	16.9	77.97	6.64319069216062
ZINC	1.78	7.12625	9.7525	10.6784892446223	13.11	105.23	5.31969581521671
COPP	0.2265	0.810625	1.074	1.19747348674337	1.421625	18.9055	0.797090368364154
SODI	418	2407	3193.25	3396.64794897449	4118.125	11191.5	1368.48185999501
POTA	483	1846	2408	2524.57016008004	3074.875	7730	941.138281665578
SELE	17.45	77.975	105.4	113.094272136068	138.225	383.1	48.5123970801364
CAFF	0	23.625	87	132.617933966983	183.5	1358	156.476302633971
THEO	0	0	7.5	28.963731865933	37.5	787.5	52.3969478155496
ALCO	0	0	0	7.17494997498749	4	427.45	19.298930896174
MOIS	427.025	1882.94875	2534.7425	2759.53153076538	3411.95125	11728.54	1219.86047872784
S040	0	0.2	0.378	0.461705102551276	0.624	3.0825	0.365821590096611
S060	0	0.1325	0.247	0.297359554777389	0.402375	2.162	0.232260240273515
S080	0	0.114	0.20575	0.260427713856928	0.332875	3.847	0.236920429405589
S100	0.002	0.2315	0.4095	0.486526013006503	0.649875	3.684	0.360044044853317
S120	0.004	0.304	0.56225	0.872896323161581	1.00875	25.2065	1.19519404671416
S140	0.0445	1.071375	1.84325	2.11701313156578	2.789	13.2145	1.42783716578402
S160	2.206	9.17725	12.89925	14.0158085292646	17.57675	43.474	6.53460114432253
S180	0.5155	3.832625	5.53925	6.08514932466233	7.73325	20.45	3.06337291078497
M161	0.0665	0.674	1.0025	1.12240657828914	1.424375	5.151	0.625015138942392
M181	3.684	17.123375	23.97475	25.838232116058	32.1235	98.2125	11.9152669870288
M201	0.0075	0.1665	0.258	0.304131315657829	0.3855	2.0075	0.205279027787197
M221	0	0.005	0.0135	0.0292510005002501	0.0315	1.331	0.0653987525903957
P182	1.145	10.30125	14.6055	16.1249573536768	20.282125	72.9335	8.12324347547925
P183	0.162	1.063625	1.52175	1.74244134567284	2.1845	16.064	1.03362360760363
P184	0	0	0.0015	0.0116528264132066	0.005	0.3905	0.0278721127970093
P204	0	0.084	0.13675	0.157539769884942	0.2085	1.0925	0.105266819304955
P205	0	0.004	0.008	0.03133991995998	0.0175	1.254	0.0776862761710367
P225	0	0.0095	0.016	0.023473611805903	0.027	0.631	0.0299270648982062
P226	0	0.006	0.0245	0.0681116808404202	0.0625	1.8165	0.140344548042488
