Group	macronutrient	n	mean	sd
F_18_19	CARB_kcal_pct	95	50.7521708422887	8.58126010138897
F_20s	CARB_kcal_pct	346	48.0724798071919	8.01940350850373
F_30s	CARB_kcal_pct	335	48.7521547462226	8.09419340842535
F_40s	CARB_kcal_pct	383	49.3101241086417	8.10740327428142
F_50s	CARB_kcal_pct	347	47.7678517937302	8.17374930278105
F_60s	CARB_kcal_pct	365	48.7305327607138	8.43845862828585
F_70s_80s	CARB_kcal_pct	345	48.9147939672166	7.95612578663547
M_18_19	CARB_kcal_pct	94	48.5079865582918	7.32392104342696
M_20s	CARB_kcal_pct	280	48.7313610635267	7.55442473001265
M_30s	CARB_kcal_pct	311	48.3981329517266	8.63703299923286
M_40s	CARB_kcal_pct	293	47.9738940667604	8.56538148690313
M_50s	CARB_kcal_pct	305	47.4328930666383	8.64083245709939
M_60s	CARB_kcal_pct	349	48.5319170974089	8.5783167117204
M_70s_80s	CARB_kcal_pct	359	48.1142884158494	8.6025084987989
F_18_19	PROT_kcal_pct	95	14.6276013131856	4.28762904516924
F_20s	PROT_kcal_pct	346	16.228447700812	4.66824679848984
F_30s	PROT_kcal_pct	335	16.2672115268592	4.58358065387721
F_40s	PROT_kcal_pct	383	16.0587962574038	4.36407343261151
F_50s	PROT_kcal_pct	347	16.3223839056032	4.06967789804813
F_60s	PROT_kcal_pct	365	16.1046191887917	3.90055533894754
F_70s_80s	PROT_kcal_pct	345	15.6865094038379	3.78046277253786
M_18_19	PROT_kcal_pct	94	15.911696953077	4.91268947896443
M_20s	PROT_kcal_pct	280	16.8410918658141	4.79178720013804
M_30s	PROT_kcal_pct	311	16.3427465277363	4.55442221333114
M_40s	PROT_kcal_pct	293	17.4871383649341	4.86342876069709
M_50s	PROT_kcal_pct	305	16.6190630613116	4.30220986423474
M_60s	PROT_kcal_pct	349	16.5938273957668	4.17543339918769
M_70s_80s	PROT_kcal_pct	359	15.8616166041221	4.06570980953117
F_18_19	TFAT_kcal_pct	95	34.6202278445257	7.0600477631444
F_20s	TFAT_kcal_pct	346	35.699072491996	6.74067737998947
F_30s	TFAT_kcal_pct	335	34.9806337269183	7.11924813198054
F_40s	TFAT_kcal_pct	383	34.6310796339545	7.1307775906964
F_50s	TFAT_kcal_pct	347	35.9097643006666	7.1719711080404
F_60s	TFAT_kcal_pct	365	35.1648480504945	7.87190690460211
F_70s_80s	TFAT_kcal_pct	345	35.3986966289456	7.38401977136854
M_18_19	TFAT_kcal_pct	94	35.5803164886312	5.79236884027671
M_20s	TFAT_kcal_pct	280	34.4275470706593	6.18133338312788
M_30s	TFAT_kcal_pct	311	35.2591205205371	6.90785999388669
M_40s	TFAT_kcal_pct	293	34.5389675683055	7.61545848383235
M_50s	TFAT_kcal_pct	305	35.9480438720501	6.96485375336406
M_60s	TFAT_kcal_pct	349	34.8742555068243	7.69910367547142
M_70s_80s	TFAT_kcal_pct	359	36.0240949800285	7.75778899963655
