Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
SEQN	83732	86168	88744	88714.5176096342	91249	93702	2893.02771986866
GRMS	256.67	2223.76	2933.385	3164.91302658487	3843.415	13353.21	1328.29778984168
KCAL	227.5	1445	1893.5	1988.24573960464	2402.5	8491.5	773.875906187722
PROT	2.58	55.665	73.43	78.4587741422404	95.51	335.83	33.7448694816287
CARB	23.085	167.065	223.66	237.635181776869	290.085	908.415	98.5445543608143
SUGR	0.335	59.44	88.975	100.296298568507	127.505	680.345	57.9580769439971
FIBE	0.95	10.5	15.15	16.8718700295387	21.25	89.55	9.19864945014974
TFAT	5.915	51.615	72.66	77.773519654624	96.925	410.32	36.8667251218696
SFAT	1.292	15.753	22.9105	25.1689957964099	31.796	186.2115	13.3552050512378
MFAT	1.6355	17.8085	25.385	27.403122812997	34.2085	144.2395	13.6938660018353
PFAT	1.1475	11.3965	16.3975	18.0529706884799	22.715	112.9615	9.70683025258759
CHOL	0	161	254	297.239718245853	386	1873.5	191.124472825987
ATOC	0.295	5.02	7.18	8.37578164053624	10.19	97.465	5.49471013300223
ATOA	0	0	0	0.755564644399	0	58.81	2.97427168402996
RET	0	186	313	393.422972051806	495	9914	435.170679129968
VARA	0	301.5	481	596.967280163599	738.5	10021.5	535.025107798338
ACAR	0	22.5	77.5	384.937741422404	409.5	24302	842.459412421473
BCAR	0	426	1035	2211.79243353783	2577.5	53020	3276.28452439713
CRYP	0	16	44	94.2900477164281	101.5	7314.5	214.966409376024
LYCO	0	736	2415.5	4739.22483526471	6143.5	71914	6579.3559430629
LZ	0.5	455.5	829.5	1678.03328788912	1575.5	78327	3275.8122609783
VB1	0.0765	1.0245	1.422	1.52859009316065	1.8865	8.2275	0.715391636627363
VB2	0.062	1.2975	1.783	1.96797137014315	2.3965	11.9605	1.02454435908144
NIAC	1.6775	16.361	22.2985	24.4370548738923	29.925	151.7865	12.2013866670033
VB6	0.037	1.2495	1.733	1.98396523517382	2.37	32.43	1.31242896354786
FOLA	25	241	338	379.484548966144	469	2358.5	205.310074504466
FA	0	74.5	130.5	166.172574414906	211	2134.5	146.488957604111
FF	12	131.5	189	213.097250624858	267	1790.5	120.629976936171
FDFE	29.5	302	432	495.524199045671	616	3851.5	294.957074177676
CHL	4.9	213.65	297.65	324.732526698478	403.95	1518.9	158.890965907087
VB12	0	2.315	3.655	4.64553283344694	5.645	105.505	4.83724460743514
B12A	0	0	0	0.921864349011588	1.05	29.16	2.19378356633302
VC	0	29	60.5	79.5256759827312	109.15	843.2	71.7203587389211
VD	0	1.8	3.45	4.58704839809134	5.85	49.8	4.52641720043898
VK	1.9	46.55	75.55	118.056146330379	129.35	4133.7	161.143009196124
CALC	78.5	561	805.5	889.085321517837	1110.5	7216	466.577433822806
PHOS	58.5	930	1229.5	1302.87945921382	1590.5	6903.5	542.107176966778
MAGN	34	199	267.5	287.716996137242	351	1480	126.499238022039
IRON	0.91	9.015	12.325	13.6276687116564	16.81	77.97	6.89355945514266
ZINC	0.325	6.93	9.635	10.5460338559418	13.005	105.23	5.5054768381122
COPP	0.155	0.7825	1.0615	1.1855	1.411	18.9055	0.810963671490451
SODI	370.5	2333.5	3155.5	3355.97216541695	4084.5	14779.5	1446.41103659433
POTA	204	1786	2367.5	2499.63110656669	3053	9033.5	1013.16226980985
SELE	2.35	75.65	103.7	112.069347875483	137.2	458.25	51.9109410324075
CAFF	0	21.5	84	130.10736196319	180.5	1993	156.888417949504
THEO	0	0	7	28.8011815496478	37	787.5	53.1912907982636
ALCO	0	0	0	7.04028629856851	2.95	427.45	19.1420247292755
MOIS	158.43	1853.66	2515.525	2746.00914678482	3392.645	12019.835	1257.06606503157
S040	0	0.1905	0.3685	0.456204385366962	0.618	5.2505	0.380646805661508
S060	0	0.126	0.2415	0.29365007952738	0.3975	3.1705	0.240826848691258
S080	0	0.11	0.2005	0.256783344694388	0.328	3.847	0.241646736509558
S100	0.002	0.22	0.3985	0.480040331742786	0.6425	5.0325	0.373687379549195
S120	0.0025	0.2895	0.5465	0.856938763917292	0.986	25.2065	1.19462435896535
S140	0.0185	1.0355	1.8015	2.09029197909566	2.768	23.276	1.49980386814765
S160	0.943	8.8515	12.6905	13.8412023403772	17.396	92.737	7.00883376853917
S180	0.268	3.701	5.4385	6.00485207907294	7.6575	41.761	3.25214888404936
M161	0.0245	0.6545	0.989	1.11147932288116	1.416	6.9435	0.656564776562343
M181	1.5765	16.5365	23.5595	25.5040995228357	31.8185	134.9005	12.8165469065953
M201	0.0035	0.159	0.2515	0.298998863894569	0.3795	2.077	0.210702222015681
M221	0	0.0045	0.013	0.0290741876846171	0.0305	2.376	0.073491016036781
P182	0.998	9.928	14.3515	15.8919980686208	19.9835	96.7925	8.63549741386907
P183	0.067	1.0215	1.4975	1.71935503294706	2.1535	16.064	1.09297988134514
P184	0	0	0.0015	0.0114729606907521	0.0045	0.528	0.0284112944983721
P204	0	0.0805	0.1345	0.156875596455351	0.2065	1.0925	0.109374811832627
P205	0	0.004	0.008	0.0310599863667348	0.0175	1.7655	0.0810243168656501
P225	0	0.009	0.016	0.0233301522381277	0.027	0.631	0.0306679885251929
P226	0	0.006	0.024	0.06782094978414	0.0615	2.908	0.145059614240953
F_CITMLB	0	0	0	0.223110018291297	0.251775	6.4387	0.52357792790915
F_OTHER	0	0	0.182424	0.488121083503749	0.7655375	5.72251	0.698443765115332
F_JUICE	0	0	0.0045	0.262447192001818	0.3193	6.9657	0.525331192199378
F_TOTAL	0	0.07625	0.67795	0.973678293796864	1.4453365	9.4075715	1.09151753901785
V_DRKGR	0	0	0	0.155258485685072	0.157301	8.275722	0.360772650629871
V_REDOR_TOMATO	0	0.05215	0.18268	0.265916003067485	0.376225	2.896934	0.298469601509314
V_REDOR_OTHER	0	0	0.00525	0.0940294596682572	0.11	4.1576475	0.192105442786688
V_REDOR_TOTAL	0	0.106278	0.26563	0.359945462735742	0.506619	4.1576475	0.360784733630809
V_STARCHY_POTATO	0	0	0.172935	0.348049535446489	0.505323	5.077437	0.487093047147851
V_STARCHY_OTHER	0	0	0	0.0881195059077482	0.08505	3.1624	0.215393178254801
V_STARCHY_TOTAL	0	0	0.26775	0.436169041354238	0.623977	5.5949	0.538890397155169
V_OTHER	0	0.133421	0.35305	0.50805334310384	0.712056	5.0455965	0.533426982751587
V_TOTAL	0	0.7159885	1.25015	1.45942633287889	1.970692	10.148338	1.03136432267962
V_LEGUMES	0	0	0	0.142973017723245	0.1853	4.0719375	0.290839936009014
G_WHOLE	0	0	0.44415	0.894001287434674	1.3068	13.56795	1.22703922671877
G_REFINED	0	3.102367	4.8291	5.47089573971825	7.1531375	40.50315	3.35030092117673
G_TOTAL	0	3.935812	5.75465	6.36489702669848	8.15725	41.79996	3.45056826241231
PF_MEAT	0	0	0.9525	1.51085068927516	2.2953	22.76064	1.90760678559021
PF_CUREDMEAT	0	0	0.3864	0.874478964553511	1.28125	11.1315	1.25488485100987
PF_ORGAN	0	0	0	0.0243582606225858	0	6.886	0.254874564355161
PF_POULT	0	0	1.0494	1.60730469586458	2.4225	20.369625	1.97740109990654
PF_SEAFD_HI	0	0	0	0.1878121778005	0	10.5213	0.783806646996122
PF_SEAFD_LOW	0	0	0	0.511330322881163	0.11305	21.3974	1.39171601420172
PF_MPS_TOTAL	0	2.558205	4.0976	4.71613511213361	6.2392125	30.6141575	3.19522364293998
PF_EGGS	0	0.0303225	0.2854	0.606594874233129	0.9792775	9.9424	0.772544441795226
PF_SOY	0	0	0	0.0763143803680982	0	5.928	0.335179573396038
PF_NUTSDS	0	0	0	0.64023413394683	0.6063	20.32935	1.42288268102057
PF_LEGUMES	0	0	0	0.574058513746876	0.738	16.3591825	1.16803012477571
PF_TOTAL	0	3.528374	5.3169025	6.03927850090888	7.8088755	30.7785275	3.69224311655453
D_MILK	0	0.0885	0.359516	0.617011883776414	0.899225	7.62805	0.75133299331731
