Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
BMI	0.0275226315925526	-0.150461629115402	-0.24307946194678	-0.0700039761600609	-0.354222850366125	0.121007256637957	0.412771736261898	0.239751408593883	0.0585627520849441	-0.0098256796292586	-0.333714313394762	-0.0649491975041914	-0.164026185283141	-0.139300012172253	-0.165789735312664
CHOLN	0.241447576011833	-0.0158311919658035	0.334315752597258	0.0277546466470398	-0.0717201148458705	-0.0277466457343964	0.10922993629375	-0.0742857925537795	0.0320151980071796	0.142041837931354	0.00404631635035974	-0.048504278427905	0.157313379170268	-0.187601222736107	0.137018659477688
TFAT	0.135169673390662	-0.319101813817023	0.0452688179183446	0.15211329564624	-0.147802111631498	-0.120386356580619	0.0166157086958078	0.156237354102016	-0.0412892111440608	-0.195175752701667	-0.0802860728072885	-0.0817006158221356	0.127848539435667	-0.0442459353879971	-0.0726478879041256
CARB	-0.0729360287100257	-0.318048898715817	-0.21426992248738	-0.0669326555627561	0.0945179143025457	0.00354065878952119	-0.0796486758421448	0.187510902394343	-0.0976438815897046	0.177477148962602	0.0544414076547209	0.0812098508307082	-0.150875500041102	0.206908651437696	-0.00696323798612739
CAFF	0.0887617820760608	-0.283919158140893	-0.23632476434285	-0.0237480835230905	0.0376292326150837	0.0902471659415277	0.0993989495903611	0.0960386685219363	-0.121591420886733	-0.134149245618264	0.265563259348021	0.148200430877307	0.660982603742374	0.258406633435794	0.110292586678107
VC	-0.307373147746178	0.045570873613729	0.109445863108746	0.062825930822498	-0.0524519106889881	0.292489546825635	-0.203505658684945	0.109280380046762	0.153354653106864	-0.017520512299058	0.0315724700057708	-0.121544586381516	0.00602612318467367	-0.355959937514987	0.0037183234886431
CALC	0.0818378311713056	-0.260320793806868	-0.0893630271239678	0.33625543428631	-0.00821867399550768	-0.08292501216012	-0.0881593900099522	-0.00808731157979606	-0.383050573576719	-0.0807749010241179	-0.103722385029955	0.0570778941086591	-0.0599442278580974	-0.197551704215846	-0.00476096414073287
FA	-0.114359578014339	-0.255523531581355	-0.117021533523338	-0.146308228662533	0.315024119426868	0.212595055224162	0.0279114112147198	0.175294434916378	-0.218623268221168	0.0617883045317626	-0.0690519560150458	-0.00301533972402109	-0.171581130005277	-0.260924541798563	0.0099404421759641
MAGN	-0.212587645090053	-0.099064723269567	0.153003349750429	-0.016994523015607	0.133221775367677	-0.570667859990417	0.0357657779271341	0.0238808214266936	-0.334376529882128	0.0740068603722361	-0.145242541726151	-0.0339319907401834	0.0264263385451655	-0.0208293198617095	0.144029008604327
PHOS	0.239554345200092	-0.184582054640867	0.21294655534511	0.119705619599882	-0.00912237496185864	-0.152708523100536	0.124213552716533	-0.103384793135176	-0.122763173030806	0.1579484321805	0.0656866257849763	-0.131193081661427	-0.0994407864674741	-0.252770347767317	0.126800841253163
POTA	-0.142444398137973	-0.144193117355074	0.226333354262248	0.018398126410179	-0.368478053880916	0.0666007991695047	-0.277091345812652	-0.275424460910424	-0.165811394005788	0.0556218386791196	-0.0216713950752806	0.180645181974539	0.168046158767021	-0.0567644617079282	-0.126615442694519
SODI	0.188335009688094	-0.116395330616331	0.0518629032272293	-0.392401454687708	0.0844200122648077	-0.170624227648027	-0.217739553225096	-0.0449677690362915	0.137338502379632	0.00916460854584589	0.0579814749438848	0.209287905139923	0.0832319825310002	-0.173871952985137	-0.185056602074459
ZINC	0.217652401749563	-0.19332655007222	0.0530081466042314	0.283754996715632	0.127005301050217	0.12356995556744	0.161653071387761	-0.144383426801885	0.160554416344495	0.0200066188952582	-0.0699082187293178	0.0405317525788508	-0.0394144189919298	0.140189346262783	-0.03948418949458
COPP	-0.250287069480434	-0.0523282001524542	0.120976175593361	-0.262266729840526	-0.0840625361028763	-0.252749694727202	-0.0747929123361327	0.275167438164863	0.129766652539153	0.0979794751553782	0.0020277805873885	-0.414730032973279	0.083177080941908	0.175897479207652	0.30448891470905
SELE	0.237328714991243	-0.120656390321512	0.227921394044139	-0.212645400698395	0.0324545145030764	-0.121284829131125	0.0855296789957983	0.0718052962648449	0.0771430718122108	0.313065365520004	0.147037906916656	0.0903807660574489	-0.0416019446248476	-0.115763787413664	-0.288814139579265
VB1	-0.0879479734518279	-0.217697573529927	-0.182247524077728	-0.039717133632671	-0.260301732909212	0.0660848757855386	-0.398919873011564	-0.34060786949309	-0.0429478979618336	0.348838319035577	-0.16493930187871	-0.129154693167065	-0.0297254479484728	0.202691872130695	-0.138415349980057
NIAC	0.206530557363691	-0.209671644322209	0.124690651404691	-0.239546795815019	-0.100061082323179	0.187867681719374	0.00838529044752373	0.231823826098228	0.0316024124343298	0.103479384006477	0.222216835148239	0.0297051363815087	-0.125690765177833	0.0456774142631352	0.0625579030778876
VB6	-0.116215138165475	-0.110512018652088	0.313576508065109	-0.0866278463279564	-0.0836362589843064	0.473127258860119	0.207465301860212	-0.11032929354721	-0.177579006099994	0.136112467701253	-0.0877802031478482	-0.11483293390866	0.169194286251505	-0.0209785642947384	0.338952190301141
FDFE	-0.225832706221054	-0.236268044706816	-0.00726133118780094	-0.114819617213043	0.257412443317091	0.133273435276928	-0.0902126558051005	0.0579296851523094	-0.0889980267523701	0.0577320986090386	0.0160949090762824	0.0550204726739473	-0.149450799950479	0.00384830720311538	-0.0281571429970381
VARA	-0.22422812435104	-0.130468049023802	0.199611638827907	0.165979589048174	0.284139702985353	0.0556675700073668	0.0136844601787059	-0.0801947940651487	0.163502102866315	-0.0349512424098545	0.234289207933593	0.0991422680069939	-0.0144928742363122	0.000903688589991774	0.0743151253697943
RET	0.0906584533222094	-0.146137960052662	0.0595422612880173	0.395770492522357	0.218213920467057	0.0483469520358613	-0.329885224808054	0.126571829806265	0.202753963212337	-0.0396133134102464	0.127212681874853	-0.210006420721437	-0.0638529985165871	-0.0424723619478021	-0.0339627014266328
BCAR	-0.299741515547518	-0.00926376073646321	0.153579018752607	-0.119853363739264	0.113908383399538	0.010069839354723	0.270978501701206	-0.179703040576841	-0.0208797875963026	0.0167077546816254	0.173200883610181	0.175678099052522	-0.00356883408856469	0.045079785596268	-0.371079260025609
CRYP	-0.143811320906912	0.0972910854979031	-0.123469327611248	0.16624051622292	-0.426341019327352	-0.0734140124887801	-0.0600384609281793	0.284417339132377	-0.100286803949894	0.0846439355209012	0.557619871921252	0.18785225147108	-0.072980907522547	-0.246353867129441	0.0653172866825754
LYCO	-0.15743823643086	-0.221956303928985	-0.166820733126583	-0.0602849566682936	-0.0727861913182708	-0.107235439193702	0.272960373803099	-0.39422161896958	0.02476808157804	-0.232646894889199	0.377074901565364	-0.511029868449174	-0.0608140971662396	-0.100031655429454	-0.188080053651007
LZ	-0.214211355354031	0.119549322776222	0.271985168289271	0.168007572982329	0.0302134032890937	0.025821817472208	0.0599336959793013	0.336023077142855	-0.20825072864378	-0.0219311139055302	-0.153031914725165	-0.0777100175805438	0.272567742420924	0.0502625553196042	-0.51054718404067
ATOC	-0.23234961236198	-0.203475117005225	0.132186503386269	-0.0255794762109956	-0.152470618869279	-0.119820716511172	0.0880516087499544	-0.103986973505255	0.146011606279096	-0.372359971761827	-0.131161159834445	0.462153681240434	-0.219905009289726	0.00442370104081279	0.256119421789761
VITD	0.172881222051639	0.0375125613649568	0.342714819460175	-0.0425976000412032	-0.138239204322338	0.114872357365177	-0.0858808136693689	0.0876844577746454	-0.317418973200878	-0.299328027982842	0.178466301822814	-0.107057893587228	-0.403711087949059	0.478424181669266	-0.0857419024543618
M221	0.176681813009922	0.12650640519759	-0.0528524001141712	-0.343913982197387	0.111831747663271	0.116334333203781	-0.240467169328348	-0.0742406940213463	-0.296334457515335	-0.444597790049345	-0.018422444365342	-0.109989862688078	0.0813221311770824	-0.296838637480412	0.00970102469643503
PFAT	-0.0292788223530784	-0.30951418932508	0.175269803291295	-0.0763711717485325	-0.122269815407901	-0.0496945850668362	-0.154264802584214	0.14612990962296	0.393922040612454	-0.308002528916911	-0.157634603656458	-0.0731434153926837	0.100494295053683	-0.023674321650932	-0.121884370799812
