Group	macronutrient	n	mean	sd	sd_base	sd_stacked
American	Carbohydrate	3	43.1983748743867	0.809942432667902	56.8016251256133	57.6115675582812
American	Protein	3	15.3160276357033	2.58393409136889	41.48559748991	44.0695315812789
American	Total Fat	3	41.48559748991	2.44232921089888	0	2.44232921089888
Japanese	Carbohydrate	3	37.5817444147534	0.377204535560447	62.4182555852466	62.795460120807
Japanese	Protein	3	27.6827084995891	0.876246796202217	34.7355470856575	35.6117938818597
Japanese	Total Fat	3	34.7355470856575	0.593996597722133	0	0.593996597722133
Keto	Carbohydrate	3	14.8989886452797	1.12036332109949	85.1010113547203	86.2213746758198
Keto	Protein	3	31.6603602032712	3.69482194982084	53.4406511514491	57.1354731012699
Keto	Total Fat	3	53.4406511514491	2.73117335797355	0	2.73117335797355
Vegan	Carbohydrate	3	51.1266292836072	3.80750747647109	48.8733707163928	52.6808781928639
Vegan	Protein	3	10.7707459148851	1.02707186084351	38.1026248015077	39.1296966623512
Vegan	Total Fat	3	38.1026248015077	3.40101305116973	0	3.40101305116973
Vegetarian	Carbohydrate	3	47.5964384599427	8.95299301002911	52.4035615400573	61.3565545500864
Vegetarian	Protein	3	14.9554611072523	1.74721491466619	37.448100432805	39.1953153474712
Vegetarian	Total Fat	3	37.448100432805	8.20866298598401	0	8.20866298598401
