#FOODID	VVKAJ113	VVKAJ101	VVKAJ108	VVKAJ110	VVKAJ115	VVKAJ106	VVKAJ111	VVKAJ103	VVKAJ112	VVKAJ102	VVKAJ104	VVKAJ109	VVKAJ114	VVKAJ105	VVKAJ107	taxonomy
Milk NFS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;Milk_NFS
Milk cows fluid whole	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;Milk_cows_fluid_whole
Milk cows fluid 2 fat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;Milk_cows_fluid_2_fat
Milk cows fluid 1 fat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;Milk_cows_fluid_1_fat
Milk soy ready to drink not babys	0	0	0	0	0	0	0	0.5124	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_soy;Milk_soy_ready_to_drink_not_babys
Milk almond ready to drink	0	0	0	0	0	0	0	0	1.3176	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_almond;Milk_almond_ready_to_drink
Yogurt plain whole milk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_plain;Yogurt_plain_whole_milk
Yogurt plain lowfat milk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_plain;Yogurt_plain_lowfat_milk
Yogurt fruit variety whole milk	0	0	0	0	0	0.1225	0	0	0	0	0.113	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_fruit_variety;Yogurt_fruit_variety_whole_milk
Cream heavy fluid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;L4_Cream_heavy;Cream_heavy_fluid
Cheese Brie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;Cheese_Brie
Cheese Feta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;Cheese_Feta
Cheese Mozzarella whole milk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;Cheese_Mozzarella_whole_milk
Cheese Mozzarella part skim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;Cheese_Mozzarella_part_skim
Cheese Parmesan dry grated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;Cheese_Parmesan_dry_grated
Cheese Swiss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;Cheese_Swiss
Cheese American	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Processed_cheeses_and_cheese_spreads;L4_Cheese_processed;Cheese_American
Cheese nuggets or pieces breaded baked or fried	0	0	0	0	0	0	0	0	0	0	0	7.92	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cheese_mixtures;L4_Cheese_fried;Cheese_nuggets_or_pieces_breaded_baked_or_fried
Beef steak broiled or baked lean and fat eaten	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_steak;L4_;Beef_steak_broiled_or_baked_lean_and_fat_eaten
Beef steak battered fried NS as to fat eaten	0	0	0	0	0	0	0	0	0	0	0	0	0.8505	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_steak;L4_;Beef_steak_battered_fried_NS_as_to_fat_eaten
Beef steak braised lean and fat eaten	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_steak;L4_;Beef_steak_braised_lean_and_fat_eaten
Corned beef cooked NS as to fat eaten	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks;L4_;Corned_beef_cooked_NS_as_to_fat_eaten
Beef jerky	0	0	0.3456	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Other_beef_items_beef_bacon_dried_beef_pastrami;L4_;Beef_jerky
Pork chop stewed lean only eaten	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_chops;L4_;Pork_chop_stewed_lean_only_eaten
Pork chop smoked or cured cooked lean only eaten	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_chops;L4_;Pork_chop_smoked_or_cured_cooked_lean_only_eaten
Pork bacon NS as to fresh smoked or cured cooked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Bacon_salt_pork;L4_Bacon_NS;Pork_bacon_NS_as_to_fresh_smoked_or_cured_cooked
Pork spareribs barbecued with sauce lean and fat eaten	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Other_pork_items;L4_;Pork_spareribs_barbecued_with_sauce_lean_and_fat_eaten
Chicken NS as to part and cooking method NS as to skin eaten	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_NS_as_to_part;Chicken_NS_as_to_part_and_cooking_method_NS_as_to_skin_eaten
Frankfurter wiener or hot dog NFS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Organ_meats_sausages_and_lunchmeats;L3_Frankfurters_sausages_lunchmeats_meat_spreads;L4_Frankfurters;Frankfurter_wiener_or_hot_dog_NFS
Pork sausage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Organ_meats_sausages_and_lunchmeats;L3_Frankfurters_sausages_lunchmeats_meat_spreads;L4_Sausages;Pork_sausage
Fish NS as to type raw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;L3_Finfish;L4_Finfish_NS;Fish_NS_as_to_type_raw
Fish NS as to type baked or broiled made with oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;L3_Finfish;L4_Finfish_NS;Fish_NS_as_to_type_baked_or_broiled_made_with_oil
Fish NS as to type steamed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;L3_Finfish;L4_Finfish_NS;Fish_NS_as_to_type_steamed
Flounder steamed or poached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;L3_Finfish;L4_Finfish_NS;Flounder_steamed_or_poached
Mackerel baked or broiled fat added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;L3_Finfish;L4_Finfish_NS;Mackerel_baked_or_broiled_fat_added_in_cooking
Mackerel baked or broiled fat not added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;L3_Finfish;L4_Finfish_NS;Mackerel_baked_or_broiled_fat_not_added_in_cooking
Salmon cooked NS as to cooking method	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;L3_Finfish;L4_Finfish_NS;Salmon_cooked_NS_as_to_cooking_method
