"Sample"	"vvkaj.00037"	"vvkaj.00002"	"vvkaj.00023"	"vvkaj.00029"	"vvkaj.00044"	"vvkaj.00045"	"vvkaj.00022"	"vvkaj.00024"	"vvkaj.00003"	"vvkaj.00016"	"vvkaj.00032"	"vvkaj.00038"	"vvkaj.00039"	"vvkaj.00007"	"vvkaj.00034"	"vvkaj.00004"	"vvkaj.00005"	"vvkaj.00011"	"vvkaj.00030"	"vvkaj.00010"	"vvkaj.00018"	"vvkaj.00033"	"vvkaj.00009"	"vvkaj.00026"	"vvkaj.00008"	"vvkaj.00031"	"vvkaj.00012"	"vvkaj.00027"	"vvkaj.00042"	"vvkaj.00025"	"vvkaj.00041"	"vvkaj.00006"	"vvkaj.00015"	"vvkaj.00013"	"vvkaj.00043"	"vvkaj.00028"	"vvkaj.00040"	"vvkaj.00014"	"vvkaj.00001"	"vvkaj.00021"	"vvkaj.00036"	"vvkaj.00019"	"vvkaj.00020"	"vvkaj.00035"	"vvkaj.00017"
"vvkaj.00037"	0	0.931034482758621	0.844444444444444	0.983870967741935	0.912280701754386	0.96969696969697	0.795918367346939	0.808510638297872	0.981481481481482	0.941176470588235	0.945454545454545	0.976744186046512	0.730769230769231	0.893617021276596	1	0.946428571428571	0.941176470588235	1	0.923076923076923	0.964285714285714	0.982758620689655	0.822222222222222	0.978723404255319	0.982758620689655	0.957446808510638	0.864406779661017	0.966101694915254	0.941176470588235	0.924528301886792	1	0.961538461538462	0.912280701754386	0.892857142857143	1	1	1	1	0.982758620689655	1	0.983050847457627	1	1	1	1	0.979166666666667
"vvkaj.00002"	0.931034482758621	0	0.9	0.854166666666667	0.875	0.888888888888889	0.891304347826087	0.909090909090909	0.955555555555556	0.930232558139535	0.863636363636364	1	0.905660377358491	0.926829268292683	0.976190476190476	0.9375	0.878048780487805	1	0.949152542372881	0.936170212765957	0.98	0.902439024390244	1	0.959183673469388	0.861111111111111	0.843137254901961	0.94	0.954545454545455	1	1	0.954545454545455	0.851063829787234	0.981132075471698	0.981132075471698	0.945454545454545	0.980392156862745	0.978260869565217	0.959183673469388	0.9375	0.869565217391304	0.973684210526316	0.974358974358974	0.975609756097561	0.945945945945946	0.948717948717949
"vvkaj.00023"	0.844444444444444	0.9	0	0.953488372093023	0.871794871794872	0.958333333333333	0.828571428571429	0.882352941176471	1	0.941176470588235	0.947368421052632	0.96	0.883720930232558	0.9375	1	0.921052631578947	0.941176470588235	1	0.96	0.974358974358974	0.975	0.90625	1	1	0.851851851851852	0.957446808510638	1	0.971428571428571	1	1	1	1	0.926829268292683	1	0.978723404255319	0.975609756097561	0.942857142857143	0.975	1	1	1	1	1	1	1
"vvkaj.00029"	0.983870967741935	0.854166666666667	0.953488372093023	0	0.720930232558139	0.78	0.980392156862745	0.979166666666667	1	1	0.891304347826087	0.942857142857143	1	1	1	1	1	0.955555555555556	0.833333333333333	0.959183673469388	1	1	0.948717948717949	1	0.923076923076923	0.888888888888889	1	1	1	1	1	0.92156862745098	0.877551020408163	0.877551020408163	0.770833333333333	0.872340425531915	1	0.790697674418605	0.916666666666667	0.94	1	0.975	0.976190476190476	1	1
"vvkaj.00044"	0.912280701754386	0.875	0.871794871794872	0.720930232558139	0	0.775510204081633	0.9375	0.933333333333333	1	0.954545454545455	0.91304347826087	0.971428571428571	0.945454545454545	1	1	1	0.977777777777778	1	0.76	0.958333333333333	0.98	0.902439024390244	0.947368421052632	1	0.948717948717949	0.964912280701754	1	1	0.934782608695652	1	1	1	0.772727272727273	0.851063829787234	0.84	0.869565217391304	0.978260869565217	0.891304347826087	1	0.980392156862745	1	0.974358974358974	0.975609756097561	1	1
"vvkaj.00045"	0.96969696969697	0.888888888888889	0.958333333333333	0.78	0.775510204081633	0	0.982142857142857	0.981132075471698	1	0.980392156862745	1	1	1	1	0.979166666666667	0.924528301886792	1	0.938775510204082	0.740740740740741	0.923076923076923	0.963636363636364	1	0.904761904761905	0.982142857142857	1	0.951612903225806	0.946428571428571	0.96	0.877551020408163	1	1	0.983050847457627	0.888888888888889	0.695652173913043	0.814814814814815	0.739130434782609	0.94	0.882352941176471	1	0.945454545454545	1	0.954545454545455	0.956521739130435	1	1
"vvkaj.00022"	0.795918367346939	0.891304347826087	0.828571428571429	0.980392156862745	0.9375	0.982142857142857	0	0.875	0.952380952380952	0.868421052631579	0.931818181818182	0.96875	0.75	0.861111111111111	1	0.933333333333333	0.837837837837838	1	0.886792452830189	1	0.909090909090909	0.894736842105263	0.972222222222222	1	0.944444444444444	0.943396226415094	0.979591836734694	0.951219512195122	0.930232558139535	1	0.976190476190476	0.866666666666667	0.9375	1	0.92156862745098	1	0.976744186046512	0.883720930232558	0.933333333333333	0.979166666666667	0.971428571428571	0.942857142857143	0.973684210526316	0.971428571428571	0.914285714285714
"vvkaj.00024"	0.808510638297872	0.909090909090909	0.882352941176471	0.979166666666667	0.933333333333333	0.981132075471698	0.875	0	1	0.918918918918919	0.926829268292683	0.928571428571429	0.916666666666667	0.944444444444444	1	0.953488372093023	0.918918918918919	1	0.962962962962963	1	1	0.916666666666667	0.9375	0.977272727272727	0.939393939393939	0.918367346938776	1	0.974358974358974	0.976190476190476	1	1	1	1	0.978723404255319	1	1	1	0.953488372093023	1	0.977777777777778	1	1	1	1	0.970588235294118
"vvkaj.00003"	0.981481481481482	0.955555555555556	1	1	1	1	0.952380952380952	1	0	0.885714285714286	0.837837837837838	0.925925925925926	0.9375	0.942857142857143	0.909090909090909	0.976744186046512	0.973684210526316	0.852941176470588	1	1	0.926829268292683	0.944444444444444	1	1	1	0.96	0.977777777777778	0.973684210526316	1	1	0.973684210526316	0.931818181818182	1	0.978260869565217	1	1	0.974358974358974	0.976744186046512	0.952380952380952	0.953488372093023	1	0.9	0.90625	0.896551724137931	0.96969696969697
"vvkaj.00016"	0.941176470588235	0.930232558139535	0.941176470588235	1	0.954545454545455	0.980392156862745	0.868421052631579	0.918918918918919	0.885714285714286	0	0.8	0.88	0.888888888888889	0.909090909090909	0.970588235294118	0.951219512195122	0.972972972972973	1	1	1	0.897435897435897	0.972222222222222	1	1	0.96875	0.98	0.977272727272727	0.914285714285714	0.948717948717949	1	0.972972972972973	0.977777777777778	1	1	1	1	0.945945945945946	1	0.976190476190476	0.976744186046512	0.966666666666667	0.933333333333333	0.9375	0.966666666666667	0.935483870967742
"vvkaj.00032"	0.945454545454545	0.863636363636364	0.947368421052632	0.891304347826087	0.91304347826087	1	0.931818181818182	0.926829268292683	0.837837837837838	0.8	0	0.933333333333333	0.875	0.888888888888889	0.916666666666667	0.931818181818182	0.894736842105263	0.95	1	1	0.978260869565217	0.948717948717949	0.971428571428571	0.978260869565217	0.878787878787879	0.877551020408163	0.979166666666667	0.95	0.928571428571429	1	0.975609756097561	0.888888888888889	1	1	0.897959183673469	1	0.951219512195122	0.880952380952381	0.825	0.883720930232558	0.90625	0.971428571428571	0.914285714285714	0.970588235294118	0.972222222222222
"vvkaj.00038"	0.976744186046512	1	0.96	0.942857142857143	0.971428571428571	1	0.96875	0.928571428571429	0.925925925925926	0.88	0.933333333333333	0	0.857142857142857	0.96	1	1	1	1	1	1	1	1	0.952380952380952	1	0.954545454545455	1	1	1	1	1	1	1	1	1	1	0.96969696969697	1	1	1	1	1	1	1	1	1
"vvkaj.00039"	0.730769230769231	0.905660377358491	0.883720930232558	1	0.945454545454545	1	0.75	0.916666666666667	0.9375	0.888888888888889	0.875	0.857142857142857	0	0.857142857142857	0.978260869565217	0.942307692307692	0.936170212765957	1	0.9	0.981132075471698	0.962264150943396	0.911111111111111	0.976744186046512	0.981481481481482	0.953488372093023	0.967213114754098	0.882352941176471	0.936170212765957	0.94	1	0.837209302325581	0.925925925925926	0.862745098039216	1	1	0.981818181818182	0.98	0.981481481481482	0.981481481481482	0.962962962962963	1	0.976744186046512	0.977777777777778	0.976190476190476	0.902439024390244
"vvkaj.00007"	0.893617021276596	0.926829268292683	0.9375	1	1	1	0.861111111111111	0.944444444444444	0.942857142857143	0.909090909090909	0.888888888888889	0.96	0.857142857142857	0	1	0.921052631578947	0.941176470588235	1	0.96	1	0.975	0.939393939393939	0.96551724137931	1	0.892857142857143	0.957446808510638	0.976190476190476	0.941176470588235	0.945945945945946	0.9375	0.971428571428571	0.9	0.976744186046512	1	1	1	0.972222222222222	1	0.921052631578947	0.975609756097561	1	0.96551724137931	0.967741935483871	0.964285714285714	0.966666666666667
"vvkaj.00034"	1	0.976190476190476	1	1	1	0.979166666666667	1	1	0.909090909090909	0.970588235294118	0.916666666666667	1	0.978260869565217	1	0	0.974358974358974	1	0.939393939393939	0.98	0.973684210526316	0.888888888888889	1	0.964285714285714	0.947368421052632	1	1	0.923076923076923	1	1	1	0.970588235294118	0.925	1	0.951219512195122	0.978260869565217	0.975	1	1	0.974358974358974	0.948717948717949	0.88	0.884615384615385	0.892857142857143	0.962962962962963	0.96551724137931
"vvkaj.00004"	0.946428571428571	0.9375	0.921052631578947	1	1	0.924528301886792	0.933333333333333	0.953488372093023	0.976744186046512	0.951219512195122	0.931818181818182	1	0.942307692307692	0.921052631578947	0.974358974358974	0	0.837837837837838	1	0.907407407407407	0.978260869565217	0.956521739130435	0.975609756097561	0.972222222222222	1	0.944444444444444	0.88	0.888888888888889	0.951219512195122	1	1	0.976190476190476	0.9375	1	0.9375	0.942307692307692	0.934782608695652	0.976744186046512	1	0.956521739130435	0.804878048780488	1	0.942857142857143	0.945945945945946	0.971428571428571	0.972972972972973
